,prediction,explanation,raw_output,index,strategy,prompt,passage,question,option_A,option_B,option_C,option_D,correct_answer_num,is_correct
84,C,The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea.,"<prediction>C</prediction>
<explanation>The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea.</explanation>",28,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: Vikings used the Russian waterways to get to the Black Sea and Caspian Sea. Parts of these routes can still be used. Check possible need for special permits, which may be difficult to get. The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea, via Lake Onega, Lake Ladoga and Saint Petersburg, mostly by rivers and lakes. Lake Onega is also connected to Volga, so coming from the Caspian Sea through Russia is still possible.

Question: What does the White Sea–Baltic Canal connect?

Options:
A) Black Sea and Caspian Sea  
B) Lake Onega and River Volga  
C) Arctic Ocean and Baltic Sea  
D) Southern Ocean and Red Sea

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
","Vikings used the Russian waterways to get to the Black Sea and Caspian Sea. Parts of these routes can still be used. Check possible need for special permits, which may be difficult to get. The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea, via Lake Onega, Lake Ladoga and Saint Petersburg, mostly by rivers and lakes. Lake Onega is also connected to Volga, so coming from the Caspian Sea through Russia is still possible.",What does the White Sea–Baltic Canal connect?,Black Sea and Caspian Sea,Lake Onega and River Volga,Arctic Ocean and Baltic Sea,Southern Ocean and Red Sea,3,True
85,C,The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea.,"<explanation>The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea.</explanation>
<prediction>C</prediction>",28,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: Vikings used the Russian waterways to get to the Black Sea and Caspian Sea. Parts of these routes can still be used. Check possible need for special permits, which may be difficult to get. The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea, via Lake Onega, Lake Ladoga and Saint Petersburg, mostly by rivers and lakes. Lake Onega is also connected to Volga, so coming from the Caspian Sea through Russia is still possible.

Question: What does the White Sea–Baltic Canal connect?

Options:
A) Black Sea and Caspian Sea  
B) Lake Onega and River Volga  
C) Arctic Ocean and Baltic Sea  
D) Southern Ocean and Red Sea

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
","Vikings used the Russian waterways to get to the Black Sea and Caspian Sea. Parts of these routes can still be used. Check possible need for special permits, which may be difficult to get. The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea, via Lake Onega, Lake Ladoga and Saint Petersburg, mostly by rivers and lakes. Lake Onega is also connected to Volga, so coming from the Caspian Sea through Russia is still possible.",What does the White Sea–Baltic Canal connect?,Black Sea and Caspian Sea,Lake Onega and River Volga,Arctic Ocean and Baltic Sea,Southern Ocean and Red Sea,3,True
86,,The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea via a route that includes Lake Onega and Lake Ladoga.,<explanation>The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea via a route that includes Lake Onega and Lake Ladoga.</explanation>,28,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (C).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: Vikings used the Russian waterways to get to the Black Sea and Caspian Sea. Parts of these routes can still be used. Check possible need for special permits, which may be difficult to get. The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea, via Lake Onega, Lake Ladoga and Saint Petersburg, mostly by rivers and lakes. Lake Onega is also connected to Volga, so coming from the Caspian Sea through Russia is still possible.

Question: What does the White Sea–Baltic Canal connect?

Options:
A) Black Sea and Caspian Sea  
B) Lake Onega and River Volga  
C) Arctic Ocean and Baltic Sea  
D) Southern Ocean and Red Sea

Correct Answer: C

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
","Vikings used the Russian waterways to get to the Black Sea and Caspian Sea. Parts of these routes can still be used. Check possible need for special permits, which may be difficult to get. The White Sea–Baltic Canal connects the Arctic Ocean to the Baltic Sea, via Lake Onega, Lake Ladoga and Saint Petersburg, mostly by rivers and lakes. Lake Onega is also connected to Volga, so coming from the Caspian Sea through Russia is still possible.",What does the White Sea–Baltic Canal connect?,Black Sea and Caspian Sea,Lake Onega and River Volga,Arctic Ocean and Baltic Sea,Southern Ocean and Red Sea,3,
87,C,"The passage clearly states that Karenia brevis is a ""single-celled"" organism, which means it is not multi-celled.","<prediction>C</prediction>
<explanation>The passage clearly states that Karenia brevis is a ""single-celled"" organism, which means it is not multi-celled.</explanation>",29,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: Red tide is caused by a higher than normal concentration of Karenia brevis, a naturally-occurring single-celled marine organism. Natural factors can intersect to produce ideal conditions, allowing this algae to increase in number dramatically. The algae produces a neurotoxin that can disable nerves in both humans and fish. Fish often die because of the high concentrations of the toxin in the waters. Humans can be affected by breathing affected water taken into the air by wind and waves.

Question: Which of the following is not considered a trait of Karenia brevis?

Options:
A) It’s a type of algae  
B) It can disable the nerves of humans  
C) It’s multi-celled  
D) It occurs naturally

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
","Red tide is caused by a higher than normal concentration of Karenia brevis, a naturally-occurring single-celled marine organism. Natural factors can intersect to produce ideal conditions, allowing this algae to increase in number dramatically. The algae produces a neurotoxin that can disable nerves in both humans and fish. Fish often die because of the high concentrations of the toxin in the waters. Humans can be affected by breathing affected water taken into the air by wind and waves.",Which of the following is not considered a trait of Karenia brevis?,It’s a type of algae,It can disable the nerves of humans,It’s multi-celled,It occurs naturally,3,True
88,C,"The passage states that Karenia brevis is a ""single-celled marine organism,"" which contradicts option C, ""It's multi-celled.""","<explanation>The passage states that Karenia brevis is a ""single-celled marine organism,"" which contradicts option C, ""It's multi-celled.""</explanation>

<prediction>C</prediction>",29,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: Red tide is caused by a higher than normal concentration of Karenia brevis, a naturally-occurring single-celled marine organism. Natural factors can intersect to produce ideal conditions, allowing this algae to increase in number dramatically. The algae produces a neurotoxin that can disable nerves in both humans and fish. Fish often die because of the high concentrations of the toxin in the waters. Humans can be affected by breathing affected water taken into the air by wind and waves.

Question: Which of the following is not considered a trait of Karenia brevis?

Options:
A) It’s a type of algae  
B) It can disable the nerves of humans  
C) It’s multi-celled  
D) It occurs naturally

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
","Red tide is caused by a higher than normal concentration of Karenia brevis, a naturally-occurring single-celled marine organism. Natural factors can intersect to produce ideal conditions, allowing this algae to increase in number dramatically. The algae produces a neurotoxin that can disable nerves in both humans and fish. Fish often die because of the high concentrations of the toxin in the waters. Humans can be affected by breathing affected water taken into the air by wind and waves.",Which of the following is not considered a trait of Karenia brevis?,It’s a type of algae,It can disable the nerves of humans,It’s multi-celled,It occurs naturally,3,True
89,,"The passage states that Karenia brevis is a ""single-celled"" organism, which means it is not multi-celled.","<explanation>The passage states that Karenia brevis is a ""single-celled"" organism, which means it is not multi-celled.</explanation>",29,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (C).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: Red tide is caused by a higher than normal concentration of Karenia brevis, a naturally-occurring single-celled marine organism. Natural factors can intersect to produce ideal conditions, allowing this algae to increase in number dramatically. The algae produces a neurotoxin that can disable nerves in both humans and fish. Fish often die because of the high concentrations of the toxin in the waters. Humans can be affected by breathing affected water taken into the air by wind and waves.

Question: Which of the following is not considered a trait of Karenia brevis?

Options:
A) It’s a type of algae  
B) It can disable the nerves of humans  
C) It’s multi-celled  
D) It occurs naturally

Correct Answer: C

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
","Red tide is caused by a higher than normal concentration of Karenia brevis, a naturally-occurring single-celled marine organism. Natural factors can intersect to produce ideal conditions, allowing this algae to increase in number dramatically. The algae produces a neurotoxin that can disable nerves in both humans and fish. Fish often die because of the high concentrations of the toxin in the waters. Humans can be affected by breathing affected water taken into the air by wind and waves.",Which of the following is not considered a trait of Karenia brevis?,It’s a type of algae,It can disable the nerves of humans,It’s multi-celled,It occurs naturally,3,
90,B,The passage states that herbivores travel from the northern hills in pursuit of the rains.,"<prediction>B</prediction>
<explanation>The passage states that herbivores travel from the northern hills in pursuit of the rains.</explanation>",30,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: Every year around October nearly 1.5 million herbivores travel towards the southern plains, crossing the Mara River, from the northern hills for the rains. And then back to the north through the west, once again crossing the Mara river, after the rains in around April. The Serengeti region contains the Serengeti National Park, the Ngorongoro Conservation Area and Maswa Game Reserve in Tanzania and the Maasai Mara National Reserve in Kenya.

Question: According to the passage, where do herbivores travel from in pursuit of the rains?

Options:
A) The western plains  
B) The northern hills  
C) The southern plains  
D) The western hills

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
","Every year around October nearly 1.5 million herbivores travel towards the southern plains, crossing the Mara River, from the northern hills for the rains. And then back to the north through the west, once again crossing the Mara river, after the rains in around April. The Serengeti region contains the Serengeti National Park, the Ngorongoro Conservation Area and Maswa Game Reserve in Tanzania and the Maasai Mara National Reserve in Kenya.","According to the passage, where do herbivores travel from in pursuit of the rains?",The western plains,The northern hills,The southern plains,The western hills,2,True
91,B,"The passage states that herbivores travel ""from the northern hills for the rains.""","<explanation>The passage states that herbivores travel ""from the northern hills for the rains.""</explanation>
<prediction>B</prediction>",30,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: Every year around October nearly 1.5 million herbivores travel towards the southern plains, crossing the Mara River, from the northern hills for the rains. And then back to the north through the west, once again crossing the Mara river, after the rains in around April. The Serengeti region contains the Serengeti National Park, the Ngorongoro Conservation Area and Maswa Game Reserve in Tanzania and the Maasai Mara National Reserve in Kenya.

Question: According to the passage, where do herbivores travel from in pursuit of the rains?

Options:
A) The western plains  
B) The northern hills  
C) The southern plains  
D) The western hills

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
","Every year around October nearly 1.5 million herbivores travel towards the southern plains, crossing the Mara River, from the northern hills for the rains. And then back to the north through the west, once again crossing the Mara river, after the rains in around April. The Serengeti region contains the Serengeti National Park, the Ngorongoro Conservation Area and Maswa Game Reserve in Tanzania and the Maasai Mara National Reserve in Kenya.","According to the passage, where do herbivores travel from in pursuit of the rains?",The western plains,The northern hills,The southern plains,The western hills,2,True
92,,The passage states that the herbivores travel from the northern hills in pursuit of the rains.,<explanation>The passage states that the herbivores travel from the northern hills in pursuit of the rains.</explanation>,30,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (B).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: Every year around October nearly 1.5 million herbivores travel towards the southern plains, crossing the Mara River, from the northern hills for the rains. And then back to the north through the west, once again crossing the Mara river, after the rains in around April. The Serengeti region contains the Serengeti National Park, the Ngorongoro Conservation Area and Maswa Game Reserve in Tanzania and the Maasai Mara National Reserve in Kenya.

Question: According to the passage, where do herbivores travel from in pursuit of the rains?

Options:
A) The western plains  
B) The northern hills  
C) The southern plains  
D) The western hills

Correct Answer: B

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
","Every year around October nearly 1.5 million herbivores travel towards the southern plains, crossing the Mara River, from the northern hills for the rains. And then back to the north through the west, once again crossing the Mara river, after the rains in around April. The Serengeti region contains the Serengeti National Park, the Ngorongoro Conservation Area and Maswa Game Reserve in Tanzania and the Maasai Mara National Reserve in Kenya.","According to the passage, where do herbivores travel from in pursuit of the rains?",The western plains,The northern hills,The southern plains,The western hills,2,
93,C,"Families with children are a rare sight in hostels, and they are more likely to be accommodated in private rooms.","<prediction>C</prediction>
<explanation>Families with children are a rare sight in hostels, and they are more likely to be accommodated in private rooms.</explanation>",31,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: Hostels cater primarily to young people – a typical guest is in their twenties – but you can often find older travellers there too. Families with children are a rare sight, but some hostels do allow them in private rooms.

Question: According to the passage, which type of guest is least likely to be found in a shared hostel room?

Options:
A) A guest in their early twenties  
B) A guest traveling solo  
C) A guest traveling with small children  
D) A guest in their mid-thirties

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
","Hostels cater primarily to young people – a typical guest is in their twenties – but you can often find older travellers there too. Families with children are a rare sight, but some hostels do allow them in private rooms.","According to the passage, which type of guest is least likely to be found in a shared hostel room?",A guest in their early twenties,A guest traveling solo,A guest traveling with small children,A guest in their mid-thirties,3,True
94,C,"The passage states that families with children are a rare sight in hostels, and that some hostels allow them only in private rooms.","<explanation>The passage states that families with children are a rare sight in hostels, and that some hostels allow them only in private rooms.</explanation>
<prediction>C</prediction>",31,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: Hostels cater primarily to young people – a typical guest is in their twenties – but you can often find older travellers there too. Families with children are a rare sight, but some hostels do allow them in private rooms.

Question: According to the passage, which type of guest is least likely to be found in a shared hostel room?

Options:
A) A guest in their early twenties  
B) A guest traveling solo  
C) A guest traveling with small children  
D) A guest in their mid-thirties

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
","Hostels cater primarily to young people – a typical guest is in their twenties – but you can often find older travellers there too. Families with children are a rare sight, but some hostels do allow them in private rooms.","According to the passage, which type of guest is least likely to be found in a shared hostel room?",A guest in their early twenties,A guest traveling solo,A guest traveling with small children,A guest in their mid-thirties,3,True
95,,"Families with children are described as a ""rare sight"" in hostels, and while some hostels may allow children in private rooms, it is unlikely that a guest traveling with small children would be placed in a shared room.","<explanation>Families with children are described as a ""rare sight"" in hostels, and while some hostels may allow children in private rooms, it is unlikely that a guest traveling with small children would be placed in a shared room.</explanation>",31,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (C).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: Hostels cater primarily to young people – a typical guest is in their twenties – but you can often find older travellers there too. Families with children are a rare sight, but some hostels do allow them in private rooms.

Question: According to the passage, which type of guest is least likely to be found in a shared hostel room?

Options:
A) A guest in their early twenties  
B) A guest traveling solo  
C) A guest traveling with small children  
D) A guest in their mid-thirties

Correct Answer: C

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
","Hostels cater primarily to young people – a typical guest is in their twenties – but you can often find older travellers there too. Families with children are a rare sight, but some hostels do allow them in private rooms.","According to the passage, which type of guest is least likely to be found in a shared hostel room?",A guest in their early twenties,A guest traveling solo,A guest traveling with small children,A guest in their mid-thirties,3,
96,D,"The chief inspector advocates for inspections and surveillance in abattoirs, prioritizing animal welfare.","<prediction>D</prediction>
<explanation>The chief inspector advocates for inspections and surveillance in abattoirs, prioritizing animal welfare.</explanation>",32,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: ""Animal Liberation and the Royal Society for the Prevention of Cruelty to Animals (RSPCA) are again calling for the mandatory installation of CCTV cameras in all Australian abattoirs. RSPCA New South Wales chief inspector David O'Shannessy told the ABC that surveillance and inspections of abattoirs should be commonplace in Australia. """"The CCTV would certainly send a strong signal to those people working with animals that their welfare is of the highest priority.""""""

Question: According to a chief inspector for the RSPCA, inspections should be standard for which of the following?

Options:
A) CCTV cameras  
B) Anyone working with animals  
C) Surveillance installations  
D) Abattoirs

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
","""Animal Liberation and the Royal Society for the Prevention of Cruelty to Animals (RSPCA) are again calling for the mandatory installation of CCTV cameras in all Australian abattoirs. RSPCA New South Wales chief inspector David O'Shannessy told the ABC that surveillance and inspections of abattoirs should be commonplace in Australia. """"The CCTV would certainly send a strong signal to those people working with animals that their welfare is of the highest priority.""""""","According to a chief inspector for the RSPCA, inspections should be standard for which of the following?",CCTV cameras,Anyone working with animals,Surveillance installations,Abattoirs,4,True
97,D,"The passage states that the chief inspector for the RSPCA, David O'Shannessy, believes that ""surveillance and inspections of abattoirs should be commonplace in Australia."" He also mentions that CCTV cameras would send a strong signal to people working with animals that their welfare is a top priority. Therefore, it can be inferred that he is advocating for inspections and surveillance to be standard for abattoirs.","<explanation>The passage states that the chief inspector for the RSPCA, David O'Shannessy, believes that ""surveillance and inspections of abattoirs should be commonplace in Australia."" He also mentions that CCTV cameras would send a strong signal to people working with animals that their welfare is a top priority. Therefore, it can be inferred that he is advocating for inspections and surveillance to be standard for abattoirs.</explanation>
<prediction>D</prediction>",32,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: ""Animal Liberation and the Royal Society for the Prevention of Cruelty to Animals (RSPCA) are again calling for the mandatory installation of CCTV cameras in all Australian abattoirs. RSPCA New South Wales chief inspector David O'Shannessy told the ABC that surveillance and inspections of abattoirs should be commonplace in Australia. """"The CCTV would certainly send a strong signal to those people working with animals that their welfare is of the highest priority.""""""

Question: According to a chief inspector for the RSPCA, inspections should be standard for which of the following?

Options:
A) CCTV cameras  
B) Anyone working with animals  
C) Surveillance installations  
D) Abattoirs

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
","""Animal Liberation and the Royal Society for the Prevention of Cruelty to Animals (RSPCA) are again calling for the mandatory installation of CCTV cameras in all Australian abattoirs. RSPCA New South Wales chief inspector David O'Shannessy told the ABC that surveillance and inspections of abattoirs should be commonplace in Australia. """"The CCTV would certainly send a strong signal to those people working with animals that their welfare is of the highest priority.""""""","According to a chief inspector for the RSPCA, inspections should be standard for which of the following?",CCTV cameras,Anyone working with animals,Surveillance installations,Abattoirs,4,True
98,,"The answer is ""D"" because David O'Shannessy, the chief inspector for the RSPCA, specifically mentions that inspections of abattoirs should be commonplace in Australia.","<explanation>The answer is ""D"" because David O'Shannessy, the chief inspector for the RSPCA, specifically mentions that inspections of abattoirs should be commonplace in Australia.</explanation>",32,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (D).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: ""Animal Liberation and the Royal Society for the Prevention of Cruelty to Animals (RSPCA) are again calling for the mandatory installation of CCTV cameras in all Australian abattoirs. RSPCA New South Wales chief inspector David O'Shannessy told the ABC that surveillance and inspections of abattoirs should be commonplace in Australia. """"The CCTV would certainly send a strong signal to those people working with animals that their welfare is of the highest priority.""""""

Question: According to a chief inspector for the RSPCA, inspections should be standard for which of the following?

Options:
A) CCTV cameras  
B) Anyone working with animals  
C) Surveillance installations  
D) Abattoirs

Correct Answer: D

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
","""Animal Liberation and the Royal Society for the Prevention of Cruelty to Animals (RSPCA) are again calling for the mandatory installation of CCTV cameras in all Australian abattoirs. RSPCA New South Wales chief inspector David O'Shannessy told the ABC that surveillance and inspections of abattoirs should be commonplace in Australia. """"The CCTV would certainly send a strong signal to those people working with animals that their welfare is of the highest priority.""""""","According to a chief inspector for the RSPCA, inspections should be standard for which of the following?",CCTV cameras,Anyone working with animals,Surveillance installations,Abattoirs,4,
99,D,"The passage states that CowParade is ""the world's largest public art event.""","<prediction>D</prediction>
<explanation>The passage states that CowParade is ""the world's largest public art event.""</explanation>",33,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, select the most likely correct answer.  
Step 2: Justify your answer using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your decision.
- Do not reference the other answer options in your explanation.
- Keep the explanation short (1–3 sentences).
- Do not copy any option text directly.

---

Passage: The artistic event is also part of a campaign by the Bucharest City Hall that seeks to relaunch the image of the Romanian capital as a creative and colourful metropolis. The city will be the first in southeastern Europe to host CowParade, the world's largest public art event, between June and August this year.

Question: Which of the following statements accurately describes CowParade?

Options:
A) It only takes place in cities that are considered “creative”   
B) It was created by Bucharest City Hall  
C) It’s an art event held in the summer throughout southeastern Europe  
D) It’s the largest public art event in the world

Please answer in EXACTLY this format (do not add anything else):

<prediction>[A/B/C/D]</prediction>
                                               
<explanation>[Your concise explanation]</explanation>
                                               
","The artistic event is also part of a campaign by the Bucharest City Hall that seeks to relaunch the image of the Romanian capital as a creative and colourful metropolis. The city will be the first in southeastern Europe to host CowParade, the world's largest public art event, between June and August this year.",Which of the following statements accurately describes CowParade?,It only takes place in cities that are considered “creative” ,It was created by Bucharest City Hall,It’s an art event held in the summer throughout southeastern Europe,It’s the largest public art event in the world,4,True
100,D,"The passage states that CowParade is ""the world's largest public art event,"" which matches option D. It also mentions that Bucharest City Hall is involved in the event but does not claim that they created it, so option B is not supported. While the event is taking place in Bucharest, there is no mention of it occurring throughout southeastern Europe, eliminating option C. Option A is also not supported, as the passage does not discuss any restrictions on which cities can host CowParade.","<explanation>The passage states that CowParade is ""the world's largest public art event,"" which matches option D. It also mentions that Bucharest City Hall is involved in the event but does not claim that they created it, so option B is not supported. While the event is taking place in Bucharest, there is no mention of it occurring throughout southeastern Europe, eliminating option C. Option A is also not supported, as the passage does not discuss any restrictions on which cities can host CowParade.</explanation>
<prediction>D</prediction>",33,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Use the passage to reason step-by-step.  
Step 2: Choose the most supported answer option.

Instructions:
- Use clear reasoning steps using facts from the passage.
- Do not mention option labels in your reasoning.
- Conclude with your final answer (A–D).

---

Passage: The artistic event is also part of a campaign by the Bucharest City Hall that seeks to relaunch the image of the Romanian capital as a creative and colourful metropolis. The city will be the first in southeastern Europe to host CowParade, the world's largest public art event, between June and August this year.

Question: Which of the following statements accurately describes CowParade?

Options:
A) It only takes place in cities that are considered “creative”   
B) It was created by Bucharest City Hall  
C) It’s an art event held in the summer throughout southeastern Europe  
D) It’s the largest public art event in the world

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning based on the passage]</explanation>
                                                 
<prediction>[Final answer: A/B/C/D]</prediction>
                                               
","The artistic event is also part of a campaign by the Bucharest City Hall that seeks to relaunch the image of the Romanian capital as a creative and colourful metropolis. The city will be the first in southeastern Europe to host CowParade, the world's largest public art event, between June and August this year.",Which of the following statements accurately describes CowParade?,It only takes place in cities that are considered “creative” ,It was created by Bucharest City Hall,It’s an art event held in the summer throughout southeastern Europe,It’s the largest public art event in the world,4,True
101,,"The passage states that CowParade is ""the world's largest public art event.""","<explanation>The passage states that CowParade is ""the world's largest public art event.""</explanation>",33,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.  
Your task is to explain **why this answer is correct**, using only the passage.

Instructions:
- Focus only on the correct answer (D).
- Do not reference incorrect options.
- Highlight key evidence or reasoning from the passage.
- Write a concise explanation (1–3 sentences).

---

Passage: The artistic event is also part of a campaign by the Bucharest City Hall that seeks to relaunch the image of the Romanian capital as a creative and colourful metropolis. The city will be the first in southeastern Europe to host CowParade, the world's largest public art event, between June and August this year.

Question: Which of the following statements accurately describes CowParade?

Options:
A) It only takes place in cities that are considered “creative”   
B) It was created by Bucharest City Hall  
C) It’s an art event held in the summer throughout southeastern Europe  
D) It’s the largest public art event in the world

Correct Answer: D

Please answer in EXACTLY this format (do not add anything else):
                                       
<explanation>[Why this answer is correct based on the passage]</explanation>
                                       
","The artistic event is also part of a campaign by the Bucharest City Hall that seeks to relaunch the image of the Romanian capital as a creative and colourful metropolis. The city will be the first in southeastern Europe to host CowParade, the world's largest public art event, between June and August this year.",Which of the following statements accurately describes CowParade?,It only takes place in cities that are considered “creative” ,It was created by Bucharest City Hall,It’s an art event held in the summer throughout southeastern Europe,It’s the largest public art event in the world,4,
