,prediction,explanation,raw_output,index,strategy,prompt,passage,question,option_A,option_B,option_C,option_D,correct_answer_num
77,A,تمرکز این الگوی فکری بر روی سرعت، منطق و دقت است و شناسایی حقایق، استفاده مجدد از تکنیک‌های موجود و جمع‌آوری اطلاعات در آن مهم است، اما درک اینکه تنها یک پاسخ صحیح وجود دارد، تمرکز این الگوی فکری نیست.,"<prediction>A</prediction>
<explanation>تمرکز این الگوی فکری بر روی سرعت، منطق و دقت است و شناسایی حقایق، استفاده مجدد از تکنیک‌های موجود و جمع‌آوری اطلاعات در آن مهم است، اما درک اینکه تنها یک پاسخ صحیح وجود دارد، تمرکز این الگوی فکری نیست.</explanation>",26,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, choose the most likely correct answer (A–D).  
Step 2: Justify your answer **in Persian**, using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your answer.
- Do not mention or compare the other answer options.
- Keep the explanation short (1–3 Persian sentences).
- The explanation must be in Persian.
- The prediction must be one of the English letters: A, B, C, or D.

Please answer in EXACTLY this format (do not add anything else):
                                                       
<prediction>[A/B/C/D]</prediction>                                               
<explanation>[Your explanation in Persian]</explanation>                                                                                                              

---

Passage: الگوهای فکری همگرا روش‌هایی از حل مسئله هستند که ایده‌ها یا رشته‌های متفاوت را برای حل یک مسئله ادغام می‌کنند. تمرکز این طرز فکر بر روی سرعت، منطق و دقت است، همچنین شناسایی حقایق، استفاده مجدد از تکنیک های موجود، جمع آوری اطلاعات. مهمترین فاکتور این نگرش فکری این است که فقط یک پاسخ صحیح وجود دارد. فقط به دو پاسخ فکر می‌کنید، یعنی درست یا غلط. این نوع تفکر وابسته به بعضی رویه‌های علمی یا استاندارد است. افرادی با این نوع تفکر دارای تفکر منطقی هستند و قادرند الگوها را بخاطر بسپارند، مسائل را حل کنند و روی تست‌های علمی کار کنند.

Question: با توجه به متن، کدام یک تمرکز الگوهای فکری همگرا در نظر گرفته نمی‌شود؟

Options:  
A) درک اینکه تنها یک پاسخ صحیح وجود دارد  
B) وقت گذاشتن  
C) شناسایی حقایق  
D) جمع‌آوری اطلاعات
",الگوهای فکری همگرا روش‌هایی از حل مسئله هستند که ایده‌ها یا رشته‌های متفاوت را برای حل یک مسئله ادغام می‌کنند. تمرکز این طرز فکر بر روی سرعت، منطق و دقت است، همچنین شناسایی حقایق، استفاده مجدد از تکنیک های موجود، جمع آوری اطلاعات. مهمترین فاکتور این نگرش فکری این است که فقط یک پاسخ صحیح وجود دارد. فقط به دو پاسخ فکر می‌کنید، یعنی درست یا غلط. این نوع تفکر وابسته به بعضی رویه‌های علمی یا استاندارد است. افرادی با این نوع تفکر دارای تفکر منطقی هستند و قادرند الگوها را بخاطر بسپارند، مسائل را حل کنند و روی تست‌های علمی کار کنند.,با توجه به متن، کدام یک تمرکز الگوهای فکری همگرا در نظر گرفته نمی‌شود؟,درک اینکه تنها یک پاسخ صحیح وجود دارد,وقت گذاشتن,شناسایی حقایق,جمع‌آوری اطلاعات,2
78,B,"تمرکز الگوهای فکری همگرا بر روی سرعت، منطق و دقت است. همچنین، شناسایی حقایق، استفاده مجدد از تکنیک‌های موجود و جمع‌آوری اطلاعات نیز بخشی از این الگوی فکری هستند. با این حال، در متن به این نکته اشاره نشده است که ""وقت گذاشتن"" یکی از تمرکزهای این الگوی فکری است.","<explanation>تمرکز الگوهای فکری همگرا بر روی سرعت، منطق و دقت است. همچنین، شناسایی حقایق، استفاده مجدد از تکنیک‌های موجود و جمع‌آوری اطلاعات نیز بخشی از این الگوی فکری هستند. با این حال، در متن به این نکته اشاره نشده است که ""وقت گذاشتن"" یکی از تمرکزهای این الگوی فکری است.</explanation>
<prediction>B</prediction>",26,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Provide a step-by-step explanation **in Persian**, based on the passage.  
Step 2: Choose the most supported option (A–D) based on your reasoning.
                                                       
Instructions:
- Your reasoning must be in Persian.
- Do not mention option letters in the explanation.
- Conclude with the final answer (A/B/C/D) in English.

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning in Persian]</explanation>                                              
<prediction>[Final answer: A/B/C/D]</prediction>                                                                                                                
---

Passage: الگوهای فکری همگرا روش‌هایی از حل مسئله هستند که ایده‌ها یا رشته‌های متفاوت را برای حل یک مسئله ادغام می‌کنند. تمرکز این طرز فکر بر روی سرعت، منطق و دقت است، همچنین شناسایی حقایق، استفاده مجدد از تکنیک های موجود، جمع آوری اطلاعات. مهمترین فاکتور این نگرش فکری این است که فقط یک پاسخ صحیح وجود دارد. فقط به دو پاسخ فکر می‌کنید، یعنی درست یا غلط. این نوع تفکر وابسته به بعضی رویه‌های علمی یا استاندارد است. افرادی با این نوع تفکر دارای تفکر منطقی هستند و قادرند الگوها را بخاطر بسپارند، مسائل را حل کنند و روی تست‌های علمی کار کنند.

Question: با توجه به متن، کدام یک تمرکز الگوهای فکری همگرا در نظر گرفته نمی‌شود؟

Options:  
A) درک اینکه تنها یک پاسخ صحیح وجود دارد  
B) وقت گذاشتن  
C) شناسایی حقایق  
D) جمع‌آوری اطلاعات
",الگوهای فکری همگرا روش‌هایی از حل مسئله هستند که ایده‌ها یا رشته‌های متفاوت را برای حل یک مسئله ادغام می‌کنند. تمرکز این طرز فکر بر روی سرعت، منطق و دقت است، همچنین شناسایی حقایق، استفاده مجدد از تکنیک های موجود، جمع آوری اطلاعات. مهمترین فاکتور این نگرش فکری این است که فقط یک پاسخ صحیح وجود دارد. فقط به دو پاسخ فکر می‌کنید، یعنی درست یا غلط. این نوع تفکر وابسته به بعضی رویه‌های علمی یا استاندارد است. افرادی با این نوع تفکر دارای تفکر منطقی هستند و قادرند الگوها را بخاطر بسپارند، مسائل را حل کنند و روی تست‌های علمی کار کنند.,با توجه به متن، کدام یک تمرکز الگوهای فکری همگرا در نظر گرفته نمی‌شود؟,درک اینکه تنها یک پاسخ صحیح وجود دارد,وقت گذاشتن,شناسایی حقایق,جمع‌آوری اطلاعات,2
79,,"در متن اشاره ای به زمان یا وقت گذاشتن نشده است، بنابراین ""وقت گذاشتن"" نمی تواند تمرکز این نوع تفکر باشد.","<explanation>در متن اشاره ای به زمان یا وقت گذاشتن نشده است، بنابراین ""وقت گذاشتن"" نمی تواند تمرکز این نوع تفکر باشد.</explanation>",26,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.

Your task is to explain **in Persian** why this answer is correct, using only the passage.
                                               
Instructions:
- Only explain why the correct answer (B) is justified.
- Do not reference incorrect options.
- Highlight key evidence from the passage in Persian.
- Keep your explanation concise (1–3 Persian sentences).
- Do not copy any option text directly.

Please answer in EXACTLY this format (do not add anything else):
<explanation>[Your Persian explanation of why the answer is correct]</explanation>                                                                                                

---

Passage: الگوهای فکری همگرا روش‌هایی از حل مسئله هستند که ایده‌ها یا رشته‌های متفاوت را برای حل یک مسئله ادغام می‌کنند. تمرکز این طرز فکر بر روی سرعت، منطق و دقت است، همچنین شناسایی حقایق، استفاده مجدد از تکنیک های موجود، جمع آوری اطلاعات. مهمترین فاکتور این نگرش فکری این است که فقط یک پاسخ صحیح وجود دارد. فقط به دو پاسخ فکر می‌کنید، یعنی درست یا غلط. این نوع تفکر وابسته به بعضی رویه‌های علمی یا استاندارد است. افرادی با این نوع تفکر دارای تفکر منطقی هستند و قادرند الگوها را بخاطر بسپارند، مسائل را حل کنند و روی تست‌های علمی کار کنند.

Question: با توجه به متن، کدام یک تمرکز الگوهای فکری همگرا در نظر گرفته نمی‌شود؟

Options:  
A) درک اینکه تنها یک پاسخ صحیح وجود دارد  
B) وقت گذاشتن  
C) شناسایی حقایق  
D) جمع‌آوری اطلاعات

Correct Answer: B
",الگوهای فکری همگرا روش‌هایی از حل مسئله هستند که ایده‌ها یا رشته‌های متفاوت را برای حل یک مسئله ادغام می‌کنند. تمرکز این طرز فکر بر روی سرعت، منطق و دقت است، همچنین شناسایی حقایق، استفاده مجدد از تکنیک های موجود، جمع آوری اطلاعات. مهمترین فاکتور این نگرش فکری این است که فقط یک پاسخ صحیح وجود دارد. فقط به دو پاسخ فکر می‌کنید، یعنی درست یا غلط. این نوع تفکر وابسته به بعضی رویه‌های علمی یا استاندارد است. افرادی با این نوع تفکر دارای تفکر منطقی هستند و قادرند الگوها را بخاطر بسپارند، مسائل را حل کنند و روی تست‌های علمی کار کنند.,با توجه به متن، کدام یک تمرکز الگوهای فکری همگرا در نظر گرفته نمی‌شود؟,درک اینکه تنها یک پاسخ صحیح وجود دارد,وقت گذاشتن,شناسایی حقایق,جمع‌آوری اطلاعات,2
80,B,هدف واقعی کدهای منطقه‌ای، کنترل بیشتر شرکت‌های رسانه‌ای بر بازارهایشان و کسب درآمد بیشتر است.,"<prediction>B</prediction>
<explanation>هدف واقعی کدهای منطقه‌ای، کنترل بیشتر شرکت‌های رسانه‌ای بر بازارهایشان و کسب درآمد بیشتر است.</explanation>",27,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, choose the most likely correct answer (A–D).  
Step 2: Justify your answer **in Persian**, using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your answer.
- Do not mention or compare the other answer options.
- Keep the explanation short (1–3 Persian sentences).
- The explanation must be in Persian.
- The prediction must be one of the English letters: A, B, C, or D.

Please answer in EXACTLY this format (do not add anything else):
                                                       
<prediction>[A/B/C/D]</prediction>                                               
<explanation>[Your explanation in Persian]</explanation>                                                                                                              

---

Passage: شرکت‌های رسانه‌ای مرتب درباره هدف آن دروغ می‌گویند و ادعا می‌کنند که این کار برای «جلوگیری از دزدی دریایی» است. در حقیقت کدهای منطقه‌ای مطلقاً تأثیری بر کپی غیرقانونی ندارد؛ کپی بیت به بیت یک دیسک به خوبی روی دستگاه پخش‌کننده اورجینال پخش خواهد شد. هدف واقعی کنترل بیشتر آن شرکت‌ها بر بازارهایشان می‌باشد؛ همه‌اش بخاطر پول بیشتر درآوردن است.

Question: مطابق با متن، کدهای منطقه‌ای درواقع به چه چیز کمک می‌کنند؟

Options:  
A) کپی کردن دیسک  
B) کنترل بازار  
C) جلوگیری از نشر غیرمجاز  
D) کپی‌برداری غیرقانونی
",شرکت‌های رسانه‌ای مرتب درباره هدف آن دروغ می‌گویند و ادعا می‌کنند که این کار برای «جلوگیری از دزدی دریایی» است. در حقیقت کدهای منطقه‌ای مطلقاً تأثیری بر کپی غیرقانونی ندارد؛ کپی بیت به بیت یک دیسک به خوبی روی دستگاه پخش‌کننده اورجینال پخش خواهد شد. هدف واقعی کنترل بیشتر آن شرکت‌ها بر بازارهایشان می‌باشد؛ همه‌اش بخاطر پول بیشتر درآوردن است.,مطابق با متن، کدهای منطقه‌ای درواقع به چه چیز کمک می‌کنند؟,کپی کردن دیسک,کنترل بازار,جلوگیری از نشر غیرمجاز,کپی‌برداری غیرقانونی,2
81,B,هدف واقعی از استفاده از کدهای منطقه‌ای، کنترل بیشتر شرکت‌های رسانه‌ای بر بازار و کسب درآمد بیشتر است. این کدهای منطقه‌ای تأثیری بر جلوگیری از کپی غیرقانونی ندارند و تنها به شرکت‌ها کمک می‌کنند تا بازار خود را کنترل کنند.,"<explanation>هدف واقعی از استفاده از کدهای منطقه‌ای، کنترل بیشتر شرکت‌های رسانه‌ای بر بازار و کسب درآمد بیشتر است. این کدهای منطقه‌ای تأثیری بر جلوگیری از کپی غیرقانونی ندارند و تنها به شرکت‌ها کمک می‌کنند تا بازار خود را کنترل کنند.</explanation>
<prediction>B</prediction>",27,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Provide a step-by-step explanation **in Persian**, based on the passage.  
Step 2: Choose the most supported option (A–D) based on your reasoning.
                                                       
Instructions:
- Your reasoning must be in Persian.
- Do not mention option letters in the explanation.
- Conclude with the final answer (A/B/C/D) in English.

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning in Persian]</explanation>                                              
<prediction>[Final answer: A/B/C/D]</prediction>                                                                                                                
---

Passage: شرکت‌های رسانه‌ای مرتب درباره هدف آن دروغ می‌گویند و ادعا می‌کنند که این کار برای «جلوگیری از دزدی دریایی» است. در حقیقت کدهای منطقه‌ای مطلقاً تأثیری بر کپی غیرقانونی ندارد؛ کپی بیت به بیت یک دیسک به خوبی روی دستگاه پخش‌کننده اورجینال پخش خواهد شد. هدف واقعی کنترل بیشتر آن شرکت‌ها بر بازارهایشان می‌باشد؛ همه‌اش بخاطر پول بیشتر درآوردن است.

Question: مطابق با متن، کدهای منطقه‌ای درواقع به چه چیز کمک می‌کنند؟

Options:  
A) کپی کردن دیسک  
B) کنترل بازار  
C) جلوگیری از نشر غیرمجاز  
D) کپی‌برداری غیرقانونی
",شرکت‌های رسانه‌ای مرتب درباره هدف آن دروغ می‌گویند و ادعا می‌کنند که این کار برای «جلوگیری از دزدی دریایی» است. در حقیقت کدهای منطقه‌ای مطلقاً تأثیری بر کپی غیرقانونی ندارد؛ کپی بیت به بیت یک دیسک به خوبی روی دستگاه پخش‌کننده اورجینال پخش خواهد شد. هدف واقعی کنترل بیشتر آن شرکت‌ها بر بازارهایشان می‌باشد؛ همه‌اش بخاطر پول بیشتر درآوردن است.,مطابق با متن، کدهای منطقه‌ای درواقع به چه چیز کمک می‌کنند؟,کپی کردن دیسک,کنترل بازار,جلوگیری از نشر غیرمجاز,کپی‌برداری غیرقانونی,2
82,,هدف واقعی کدهای منطقه‌ای، کنترل بیشتر شرکت‌های رسانه‌ای بر بازارهایشان است، چرا که این کدها به آنها اجازه می‌دهند تا بر توزیع و فروش محصولات خود نظارت داشته باشند و در نهایت پول بیشتری به دست آورند.,<explanation>هدف واقعی کدهای منطقه‌ای، کنترل بیشتر شرکت‌های رسانه‌ای بر بازارهایشان است، چرا که این کدها به آنها اجازه می‌دهند تا بر توزیع و فروش محصولات خود نظارت داشته باشند و در نهایت پول بیشتری به دست آورند.</explanation>,27,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.

Your task is to explain **in Persian** why this answer is correct, using only the passage.
                                               
Instructions:
- Only explain why the correct answer (B) is justified.
- Do not reference incorrect options.
- Highlight key evidence from the passage in Persian.
- Keep your explanation concise (1–3 Persian sentences).
- Do not copy any option text directly.

Please answer in EXACTLY this format (do not add anything else):
<explanation>[Your Persian explanation of why the answer is correct]</explanation>                                                                                                

---

Passage: شرکت‌های رسانه‌ای مرتب درباره هدف آن دروغ می‌گویند و ادعا می‌کنند که این کار برای «جلوگیری از دزدی دریایی» است. در حقیقت کدهای منطقه‌ای مطلقاً تأثیری بر کپی غیرقانونی ندارد؛ کپی بیت به بیت یک دیسک به خوبی روی دستگاه پخش‌کننده اورجینال پخش خواهد شد. هدف واقعی کنترل بیشتر آن شرکت‌ها بر بازارهایشان می‌باشد؛ همه‌اش بخاطر پول بیشتر درآوردن است.

Question: مطابق با متن، کدهای منطقه‌ای درواقع به چه چیز کمک می‌کنند؟

Options:  
A) کپی کردن دیسک  
B) کنترل بازار  
C) جلوگیری از نشر غیرمجاز  
D) کپی‌برداری غیرقانونی

Correct Answer: B
",شرکت‌های رسانه‌ای مرتب درباره هدف آن دروغ می‌گویند و ادعا می‌کنند که این کار برای «جلوگیری از دزدی دریایی» است. در حقیقت کدهای منطقه‌ای مطلقاً تأثیری بر کپی غیرقانونی ندارد؛ کپی بیت به بیت یک دیسک به خوبی روی دستگاه پخش‌کننده اورجینال پخش خواهد شد. هدف واقعی کنترل بیشتر آن شرکت‌ها بر بازارهایشان می‌باشد؛ همه‌اش بخاطر پول بیشتر درآوردن است.,مطابق با متن، کدهای منطقه‌ای درواقع به چه چیز کمک می‌کنند؟,کپی کردن دیسک,کنترل بازار,جلوگیری از نشر غیرمجاز,کپی‌برداری غیرقانونی,2
83,B,اگر نفرت از پرواز ناشی از ترس از ناشناخته‌ها باشد، دانستن نحوه کارکرد هواپیما می‌تواند به کاهش ترس کمک کند.,"<prediction>B</prediction>
<explanation>اگر نفرت از پرواز ناشی از ترس از ناشناخته‌ها باشد، دانستن نحوه کارکرد هواپیما می‌تواند به کاهش ترس کمک کند.</explanation>",28,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, choose the most likely correct answer (A–D).  
Step 2: Justify your answer **in Persian**, using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your answer.
- Do not mention or compare the other answer options.
- Keep the explanation short (1–3 Persian sentences).
- The explanation must be in Persian.
- The prediction must be one of the English letters: A, B, C, or D.

Please answer in EXACTLY this format (do not add anything else):
                                                       
<prediction>[A/B/C/D]</prediction>                                               
<explanation>[Your explanation in Persian]</explanation>                                                                                                              

---

Passage: سفر با هواپیما می‌تواند برای افراد از تمام سنین و پیش‌زمینه‌ها تجربه‌ای ترسناک باشد، بویژه اگر قبلاً‌ پرواز نکرده باشند یا سانحه دلخراشی را تجربه کرده باشند. این چیزی نیست که از آن شرمنده باشی: این متفاوت از ترس شخصی و نفرت از چیزهای دیگر که در بسیاری از افراد وجود دارد، نیست. برای برخی،‌ فهم چگونگی کار کردن هواپیما و اتفاقاتی که طی پرواز رخ می‌دهد شاید بتواند به غلبه بر ترسی کمک کند که ناشی از دنیای ناشناخته‌ها و عدم داشتن کنترل است.

Question: تحت چه شرایطی احتمالاً دانستن نحوه کارکرد داخلی هواپیما برای مسافر مضطرب آن مفید خواهد بود؟

Options:  
A) اگر مسافر از ترس خود خجالت‌زده باشد  
B) اگر نفرت او از پرواز ناشی از ترس از ناشناخته‌ها باشد  
C) اگر مسافر مخالف هر نوع وسیله نقلیه باشد  
D) اگر ریشه اضطراب او از رخدادهای ترومای نامربوط به پرواز باشد
",سفر با هواپیما می‌تواند برای افراد از تمام سنین و پیش‌زمینه‌ها تجربه‌ای ترسناک باشد، بویژه اگر قبلاً‌ پرواز نکرده باشند یا سانحه دلخراشی را تجربه کرده باشند. این چیزی نیست که از آن شرمنده باشی: این متفاوت از ترس شخصی و نفرت از چیزهای دیگر که در بسیاری از افراد وجود دارد، نیست. برای برخی،‌ فهم چگونگی کار کردن هواپیما و اتفاقاتی که طی پرواز رخ می‌دهد شاید بتواند به غلبه بر ترسی کمک کند که ناشی از دنیای ناشناخته‌ها و عدم داشتن کنترل است.,تحت چه شرایطی احتمالاً دانستن نحوه کارکرد داخلی هواپیما برای مسافر مضطرب آن مفید خواهد بود؟,اگر مسافر از ترس خود خجالت‌زده باشد,اگر نفرت او از پرواز ناشی از ترس از ناشناخته‌ها باشد,اگر مسافر مخالف هر نوع وسیله نقلیه باشد,اگر ریشه اضطراب او از رخدادهای ترومای نامربوط به پرواز باشد,2
84,B,اگر مسافری که از پرواز می‌ترسد، از ناشناخته بودن و عدم کنترل شرایط در طول پرواز بترسد، دانستن نحوه کارکرد هواپیما می‌تواند به کاهش ترس او کمک کند. این شرایط در گزینه B توصیف شده است.,"<explanation>اگر مسافری که از پرواز می‌ترسد، از ناشناخته بودن و عدم کنترل شرایط در طول پرواز بترسد، دانستن نحوه کارکرد هواپیما می‌تواند به کاهش ترس او کمک کند. این شرایط در گزینه B توصیف شده است.</explanation>
<prediction>B</prediction>",28,explain_then_predict,"
You are given a passage and a multiple-choice question.

Step 1: Provide a step-by-step explanation **in Persian**, based on the passage.  
Step 2: Choose the most supported option (A–D) based on your reasoning.
                                                       
Instructions:
- Your reasoning must be in Persian.
- Do not mention option letters in the explanation.
- Conclude with the final answer (A/B/C/D) in English.

Please answer in EXACTLY this format (do not add anything else):

<explanation>[Step-by-step reasoning in Persian]</explanation>                                              
<prediction>[Final answer: A/B/C/D]</prediction>                                                                                                                
---

Passage: سفر با هواپیما می‌تواند برای افراد از تمام سنین و پیش‌زمینه‌ها تجربه‌ای ترسناک باشد، بویژه اگر قبلاً‌ پرواز نکرده باشند یا سانحه دلخراشی را تجربه کرده باشند. این چیزی نیست که از آن شرمنده باشی: این متفاوت از ترس شخصی و نفرت از چیزهای دیگر که در بسیاری از افراد وجود دارد، نیست. برای برخی،‌ فهم چگونگی کار کردن هواپیما و اتفاقاتی که طی پرواز رخ می‌دهد شاید بتواند به غلبه بر ترسی کمک کند که ناشی از دنیای ناشناخته‌ها و عدم داشتن کنترل است.

Question: تحت چه شرایطی احتمالاً دانستن نحوه کارکرد داخلی هواپیما برای مسافر مضطرب آن مفید خواهد بود؟

Options:  
A) اگر مسافر از ترس خود خجالت‌زده باشد  
B) اگر نفرت او از پرواز ناشی از ترس از ناشناخته‌ها باشد  
C) اگر مسافر مخالف هر نوع وسیله نقلیه باشد  
D) اگر ریشه اضطراب او از رخدادهای ترومای نامربوط به پرواز باشد
",سفر با هواپیما می‌تواند برای افراد از تمام سنین و پیش‌زمینه‌ها تجربه‌ای ترسناک باشد، بویژه اگر قبلاً‌ پرواز نکرده باشند یا سانحه دلخراشی را تجربه کرده باشند. این چیزی نیست که از آن شرمنده باشی: این متفاوت از ترس شخصی و نفرت از چیزهای دیگر که در بسیاری از افراد وجود دارد، نیست. برای برخی،‌ فهم چگونگی کار کردن هواپیما و اتفاقاتی که طی پرواز رخ می‌دهد شاید بتواند به غلبه بر ترسی کمک کند که ناشی از دنیای ناشناخته‌ها و عدم داشتن کنترل است.,تحت چه شرایطی احتمالاً دانستن نحوه کارکرد داخلی هواپیما برای مسافر مضطرب آن مفید خواهد بود؟,اگر مسافر از ترس خود خجالت‌زده باشد,اگر نفرت او از پرواز ناشی از ترس از ناشناخته‌ها باشد,اگر مسافر مخالف هر نوع وسیله نقلیه باشد,اگر ریشه اضطراب او از رخدادهای ترومای نامربوط به پرواز باشد,2
85,,اگر مسافری که از پرواز می‌ترسد، از ناشناخته‌ها بیزار باشد، دانستن نحوه کارکرد هواپیما و اتفاقاتی که در طول پرواز رخ می‌دهد، می‌تواند به کاهش ترس او کمک کند.,<explanation>اگر مسافری که از پرواز می‌ترسد، از ناشناخته‌ها بیزار باشد، دانستن نحوه کارکرد هواپیما و اتفاقاتی که در طول پرواز رخ می‌دهد، می‌تواند به کاهش ترس او کمک کند.</explanation>,28,answer_given_explain,"
You are given a passage, a multiple-choice question, and the correct answer.

Your task is to explain **in Persian** why this answer is correct, using only the passage.
                                               
Instructions:
- Only explain why the correct answer (B) is justified.
- Do not reference incorrect options.
- Highlight key evidence from the passage in Persian.
- Keep your explanation concise (1–3 Persian sentences).
- Do not copy any option text directly.

Please answer in EXACTLY this format (do not add anything else):
<explanation>[Your Persian explanation of why the answer is correct]</explanation>                                                                                                

---

Passage: سفر با هواپیما می‌تواند برای افراد از تمام سنین و پیش‌زمینه‌ها تجربه‌ای ترسناک باشد، بویژه اگر قبلاً‌ پرواز نکرده باشند یا سانحه دلخراشی را تجربه کرده باشند. این چیزی نیست که از آن شرمنده باشی: این متفاوت از ترس شخصی و نفرت از چیزهای دیگر که در بسیاری از افراد وجود دارد، نیست. برای برخی،‌ فهم چگونگی کار کردن هواپیما و اتفاقاتی که طی پرواز رخ می‌دهد شاید بتواند به غلبه بر ترسی کمک کند که ناشی از دنیای ناشناخته‌ها و عدم داشتن کنترل است.

Question: تحت چه شرایطی احتمالاً دانستن نحوه کارکرد داخلی هواپیما برای مسافر مضطرب آن مفید خواهد بود؟

Options:  
A) اگر مسافر از ترس خود خجالت‌زده باشد  
B) اگر نفرت او از پرواز ناشی از ترس از ناشناخته‌ها باشد  
C) اگر مسافر مخالف هر نوع وسیله نقلیه باشد  
D) اگر ریشه اضطراب او از رخدادهای ترومای نامربوط به پرواز باشد

Correct Answer: B
",سفر با هواپیما می‌تواند برای افراد از تمام سنین و پیش‌زمینه‌ها تجربه‌ای ترسناک باشد، بویژه اگر قبلاً‌ پرواز نکرده باشند یا سانحه دلخراشی را تجربه کرده باشند. این چیزی نیست که از آن شرمنده باشی: این متفاوت از ترس شخصی و نفرت از چیزهای دیگر که در بسیاری از افراد وجود دارد، نیست. برای برخی،‌ فهم چگونگی کار کردن هواپیما و اتفاقاتی که طی پرواز رخ می‌دهد شاید بتواند به غلبه بر ترسی کمک کند که ناشی از دنیای ناشناخته‌ها و عدم داشتن کنترل است.,تحت چه شرایطی احتمالاً دانستن نحوه کارکرد داخلی هواپیما برای مسافر مضطرب آن مفید خواهد بود؟,اگر مسافر از ترس خود خجالت‌زده باشد,اگر نفرت او از پرواز ناشی از ترس از ناشناخته‌ها باشد,اگر مسافر مخالف هر نوع وسیله نقلیه باشد,اگر ریشه اضطراب او از رخدادهای ترومای نامربوط به پرواز باشد,2
86,C,الکس اوچکین در بازی مقابل آتلانتا تراشرز، شصتمین گل فصل خود را به ثمر رساند.,"<prediction>C</prediction> 
<explanation>الکس اوچکین در بازی مقابل آتلانتا تراشرز، شصتمین گل فصل خود را به ثمر رساند.</explanation>",29,predict_then_explain,"
You are given a passage and a multiple-choice question.

Step 1: Based on the passage, choose the most likely correct answer (A–D).  
Step 2: Justify your answer **in Persian**, using evidence or reasoning from the passage.

Instructions:
- Use only the passage to support your answer.
- Do not mention or compare the other answer options.
- Keep the explanation short (1–3 Persian sentences).
- The explanation must be in Persian.
- The prediction must be one of the English letters: A, B, C, or D.

Please answer in EXACTLY this format (do not add anything else):
                                                       
<prediction>[A/B/C/D]</prediction>                                               
<explanation>[Your explanation in Persian]</explanation>                                                                                                              

---

Passage: بازیکن منتخب امروز، الکس اوچکین از Washington Capitals است. او در برد 5-3 واشینگتن مقابل «آتلانتا تراشرز» 2 گل زد و 2 پاس گل داد. پاس گل اوچکین در آن شب موجب گل پیروزی‌ بخشی شد که توسط نیکلاس بکستروم تازه‌کار زده شد. دومین گل آن شب او شصتمین گل فصلش بود، و بدین ترتیب اولین بازیکنی شد که بعد از سال 96-1995، زمانی که جارومیر جاگر و ماریو لمیوکس هرکدام به آن رکورد دست یافتند، حداقل 60 گل در یک فصل به ثمر رسانده است.

Question: چه کسی گل شصتم فصل را در طول بازی Capitals درمقابل تراشرز به ثمر رساند؟

Options:  
A) ماریو لمیوکس  
B) جارومیر جاگر  
C) الکس اوچکین  
D) نیکلاس بکستروم
",بازیکن منتخب امروز، الکس اوچکین از Washington Capitals است. او در برد 5-3 واشینگتن مقابل «آتلانتا تراشرز» 2 گل زد و 2 پاس گل داد. پاس گل اوچکین در آن شب موجب گل پیروزی‌ بخشی شد که توسط نیکلاس بکستروم تازه‌کار زده شد. دومین گل آن شب او شصتمین گل فصلش بود، و بدین ترتیب اولین بازیکنی شد که بعد از سال 96-1995، زمانی که جارومیر جاگر و ماریو لمیوکس هرکدام به آن رکورد دست یافتند، حداقل 60 گل در یک فصل به ثمر رسانده است.,چه کسی گل شصتم فصل را در طول بازی Capitals درمقابل تراشرز به ثمر رساند؟,ماریو لمیوکس,جارومیر جاگر,الکس اوچکین,نیکلاس بکستروم,3
