,Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4,Parsed Answer,Parsed Explanation,Parsed Highlighted Context,Parsed Keywords
25,پس از وقوع تصادف، «گیبسون» به بیمارستان منتقل شد ولی کمی پس از آن درگذشت. راننده کامیونی که 64 سال سن دارد در تصادف زخمی نشد. خود خودرو تقریباً‌ ساعت 1200 گرینویچ همان روز از صحنه تصادف برده شد. شخصی که در یک گاراژ نزدیک محل وقوع تصادف کار می‌کرد گفت: «کودکان منتظر بودند که از جاده عبور کنند و همگی جیغ می‌زدند و گریه می‌کردند.» آنها همگی از محلی که حادثه رخ داده بود با دویدن به عقب رفتند.,چه کسی در تصادف صدمه دید؟,1,"<answer>1</answer>

<explanation>در متن گفته شده که «گیبسون» پس از تصادف به بیمارستان منتقل شد اما کمی بعد درگذشت. بنابراین، می‌توان نتیجه گرفت که او در تصادف آسیب دیده بود.</explanation>

<highlight>«گیبسون» پس از وقوع تصادف به بیمارستان منتقل شد ولی کمی پس از آن درگذشت.</highlight>

<keywords> ['تصادف', 'گیبسون', 'بیمارستان', 'درگذشت', 'راننده کامیون', 'خودرو', 'کودکان', 'گاراژ'] </keywords>",«گیبسون»,کارگر گاراژ,کودکان,راننده کامیون,1,در متن گفته شده که «گیبسون» پس از تصادف به بیمارستان منتقل شد اما کمی بعد درگذشت. بنابراین، میتوان نتیجه گرفت که او در تصادف آسیب دیده بود.,«گیبسون» پس از وقوع تصادف به بیمارستان منتقل شد ولی کمی پس از آن درگذشت.,"[""'تصادف'"", ""'گیبسون'"", ""'بیمارستان'"", ""'درگذشت'"", ""'راننده کامیون'"", ""'خودرو'"", ""'کودکان'"", ""'گاراژ'""]"
26,الگوهای فکری همگرا روش‌هایی از حل مسئله هستند که ایده‌ها یا رشته‌های متفاوت را برای حل یک مسئله ادغام می‌کنند. تمرکز این طرز فکر بر روی سرعت، منطق و دقت است، همچنین شناسایی حقایق، استفاده مجدد از تکنیک های موجود، جمع آوری اطلاعات. مهمترین فاکتور این نگرش فکری این است که فقط یک پاسخ صحیح وجود دارد. فقط به دو پاسخ فکر می‌کنید، یعنی درست یا غلط. این نوع تفکر وابسته به بعضی رویه‌های علمی یا استاندارد است. افرادی با این نوع تفکر دارای تفکر منطقی هستند و قادرند الگوها را بخاطر بسپارند، مسائل را حل کنند و روی تست‌های علمی کار کنند.,با توجه به متن، کدام یک تمرکز الگوهای فکری همگرا در نظر گرفته نمی‌شود؟,2,"<answer>1</answer>

<explanation>در متن ذکر شده که تمرکز الگوهای فکری همگرا بر روی سرعت، منطق و دقت است. همچنین شناسایی حقایق، استفاده مجدد از تکنیک‌های موجود و جمع‌آوری اطلاعات از دیگر اهداف این نوع تفکر است. اما در متن اشاره نشده که «درک اینکه تنها یک پاسخ صحیح وجود دارد» یکی از تمرکزهای این الگوی فکری است. در واقع، این یک نتیجه یا نتیجه‌گیری از این نوع تفکر است که تنها یک پاسخ صحیح برای یک مسئله وجود دارد و پاسخ‌ها فقط می‌توانند درست یا غلط باشند.</explanation>

<highlight>تمرکز این طرز فکر بر روی سرعت، منطق و دقت است، همچنین شناسایی حقایق، استفاده مجدد از تکنیک‌های موجود و جمع‌آوری اطلاعات.</highlight>

<keywords>['الگوهای فکری همگرا', 'حل مسئله', 'ادغام ایده‌ها', 'سرعت', 'منطق', 'دقت', 'شناسایی حقایق', 'استفاده مجدد از تکنیک‌ها', 'جمع‌آوری اطلاعات', 'یک پاسخ صحیح', 'درست یا غلط', 'تست‌های علمی', 'تفکر منطقی']</keywords>",درک اینکه تنها یک پاسخ صحیح وجود دارد,وقت گذاشتن,شناسایی حقایق,جمع‌آوری اطلاعات,1,در متن ذکر شده که تمرکز الگوهای فکری همگرا بر روی سرعت، منطق و دقت است. همچنین شناسایی حقایق، استفاده مجدد از تکنیکهای موجود و جمعآوری اطلاعات از دیگر اهداف این نوع تفکر است. اما در متن اشاره نشده که «درک اینکه تنها یک پاسخ صحیح وجود دارد» یکی از تمرکزهای این الگوی فکری است. در واقع، این یک نتیجه یا نتیجهگیری از این نوع تفکر است که تنها یک پاسخ صحیح برای یک مسئله وجود دارد و پاسخها فقط میتوانند درست یا غلط باشند.,تمرکز این طرز فکر بر روی سرعت، منطق و دقت است، همچنین شناسایی حقایق، استفاده مجدد از تکنیکهای موجود و جمعآوری اطلاعات.,"[""'الگوهای فکری همگرا'"", ""'حل مسئله'"", ""'ادغام ایدهها'"", ""'سرعت'"", ""'منطق'"", ""'دقت'"", ""'شناسایی حقایق'"", ""'استفاده مجدد از تکنیکها'"", ""'جمعآوری اطلاعات'"", ""'یک پاسخ صحیح'"", ""'درست یا غلط'"", ""'تستهای علمی'"", ""'تفکر منطقی'""]"
27,شرکت‌های رسانه‌ای مرتب درباره هدف آن دروغ می‌گویند و ادعا می‌کنند که این کار برای «جلوگیری از دزدی دریایی» است. در حقیقت کدهای منطقه‌ای مطلقاً تأثیری بر کپی غیرقانونی ندارد؛ کپی بیت به بیت یک دیسک به خوبی روی دستگاه پخش‌کننده اورجینال پخش خواهد شد. هدف واقعی کنترل بیشتر آن شرکت‌ها بر بازارهایشان می‌باشد؛ همه‌اش بخاطر پول بیشتر درآوردن است.,مطابق با متن، کدهای منطقه‌ای درواقع به چه چیز کمک می‌کنند؟,2,"<answer>2</answer>

<explanation>در متن گفته می‌شود که هدف واقعی از استفاده از کدهای منطقه‌ای، کنترل بیشتر شرکت‌های رسانه‌ای بر بازار خود است. این کار به آنها کمک می‌کند که پول بیشتری به دست آورند.</explanation>

<highlight>شرکت‌های رسانه‌ای ادعا می‌کنند که استفاده از کدهای منطقه‌ای برای «جلوگیری از دزدی دریایی» است. اما در حقیقت، هدف واقعی آنها کنترل بیشتر بر بازار و کسب درآمد بیشتر است.</highlight>

<keywords> [""کدهای منطقه‌ای""، ""کنترل بازار""، ""پول بیشتر""، ""شرکت‌های رسانه‌ای""] </keywords>",کپی کردن دیسک,کنترل بازار,جلوگیری از نشر غیرمجاز,کپی‌برداری غیرقانونی,2,در متن گفته میشود که هدف واقعی از استفاده از کدهای منطقهای، کنترل بیشتر شرکتهای رسانهای بر بازار خود است. این کار به آنها کمک میکند که پول بیشتری به دست آورند.,شرکتهای رسانهای ادعا میکنند که استفاده از کدهای منطقهای برای «جلوگیری از دزدی دریایی» است. اما در حقیقت، هدف واقعی آنها کنترل بیشتر بر بازار و کسب درآمد بیشتر است.,"['""کدهای منطقهای""، ""کنترل بازار""، ""پول بیشتر""، ""شرکتهای رسانهای""']"
28,سفر با هواپیما می‌تواند برای افراد از تمام سنین و پیش‌زمینه‌ها تجربه‌ای ترسناک باشد، بویژه اگر قبلاً‌ پرواز نکرده باشند یا سانحه دلخراشی را تجربه کرده باشند. این چیزی نیست که از آن شرمنده باشی: این متفاوت از ترس شخصی و نفرت از چیزهای دیگر که در بسیاری از افراد وجود دارد، نیست. برای برخی،‌ فهم چگونگی کار کردن هواپیما و اتفاقاتی که طی پرواز رخ می‌دهد شاید بتواند به غلبه بر ترسی کمک کند که ناشی از دنیای ناشناخته‌ها و عدم داشتن کنترل است.,تحت چه شرایطی احتمالاً دانستن نحوه کارکرد داخلی هواپیما برای مسافر مضطرب آن مفید خواهد بود؟,2,"<answer>2</answer>

<explanation>در متن گفته می‌شود که دانستن چگونگی کار کردن هواپیما می‌تواند به افرادی که از پرواز می‌ترسند کمک کند، چرا که این ترس معمولاً ناشی از ناشناخته بودن و عدم کنترل است. بنابراین، اگر نفرت مسافر از پرواز ناشی از ترس از ناشناخته‌ها و عدم کنترل باشد، دانستن نحوه کارکرد داخلی هواپیما می‌تواند به کاهش اضطراب او کمک کند.</explanation>

<highlight>سفر با هواپیما می‌تواند برای افرادی که قبلاً پرواز نکرده‌اند یا سانحه‌ای را تجربه کرده‌اند، ترسناک باشد. این ترس متفاوت از ترس شخصی و نفرت از چیزهای دیگر نیست. فهمیدن چگونگی کار کردن هواپیما و اتفاقاتی که طی پرواز رخ می‌دهد می‌تواند به کاهش ترس ناشی از دنیای ناشناخته‌ها و عدم کنترل کمک کند.</highlight>

<keywords> [""سفر با هواپیما""، ""ترس""، ""ناشناخته‌ها""، ""عدم کنترل""، ""چگونگی کار کردن هواپیما""]</keywords>",اگر مسافر از ترس خود خجالت‌زده باشد,اگر نفرت او از پرواز ناشی از ترس از ناشناخته‌ها باشد,اگر مسافر مخالف هر نوع وسیله نقلیه باشد,اگر ریشه اضطراب او از رخدادهای ترومای نامربوط به پرواز باشد,2,در متن گفته میشود که دانستن چگونگی کار کردن هواپیما میتواند به افرادی که از پرواز میترسند کمک کند، چرا که این ترس معمولاً ناشی از ناشناخته بودن و عدم کنترل است. بنابراین، اگر نفرت مسافر از پرواز ناشی از ترس از ناشناختهها و عدم کنترل باشد، دانستن نحوه کارکرد داخلی هواپیما میتواند به کاهش اضطراب او کمک کند.,سفر با هواپیما میتواند برای افرادی که قبلاً پرواز نکردهاند یا سانحهای را تجربه کردهاند، ترسناک باشد. این ترس متفاوت از ترس شخصی و نفرت از چیزهای دیگر نیست. فهمیدن چگونگی کار کردن هواپیما و اتفاقاتی که طی پرواز رخ میدهد میتواند به کاهش ترس ناشی از دنیای ناشناختهها و عدم کنترل کمک کند.,"['""سفر با هواپیما""، ""ترس""، ""ناشناختهها""، ""عدم کنترل""، ""چگونگی کار کردن هواپیما""']"
29,بازیکن منتخب امروز، الکس اوچکین از Washington Capitals است. او در برد 5-3 واشینگتن مقابل «آتلانتا تراشرز» 2 گل زد و 2 پاس گل داد. پاس گل اوچکین در آن شب موجب گل پیروزی‌ بخشی شد که توسط نیکلاس بکستروم تازه‌کار زده شد. دومین گل آن شب او شصتمین گل فصلش بود، و بدین ترتیب اولین بازیکنی شد که بعد از سال 96-1995، زمانی که جارومیر جاگر و ماریو لمیوکس هرکدام به آن رکورد دست یافتند، حداقل 60 گل در یک فصل به ثمر رسانده است.,چه کسی گل شصتم فصل را در طول بازی Capitals درمقابل تراشرز به ثمر رساند؟,3,"<answer>3</answer>

<explanation>در متن گفته شده که «الکس اوچکین» در آن بازی دو گل زد که «دومین گل» او شصتمین گل فصلش بود.</explanation>

<highlight>دومین گل آن شب او شصتمین گل فصلش بود</highlight>

<keywords>[""الکس اوچکین""، ""گل""، ""شصتمین""]</keywords>",ماریو لمیوکس,جارومیر جاگر,الکس اوچکین,نیکلاس بکستروم,3,در متن گفته شده که «الکس اوچکین» در آن بازی دو گل زد که «دومین گل» او شصتمین گل فصلش بود.,دومین گل آن شب او شصتمین گل فصلش بود,"['""الکس اوچکین""، ""گل""، ""شصتمین""']"
30,تقریباً از همان ابتدا شرایط برای ایتالیایی‌ها در شمال آفریقا خوب پیش نرفت. در یک هفته‌ای که از اعلام جنگ ایتالیا در 10 ژوئن 1940 اعلام شد، نیروهای 11th Hussars بریتانیا موق شدند Fort Capuzzo را در لیبی تصرف کنند. در کمین شرق بردیا، انگلیسی‌ها مهندس ارشد ارتش دهم ایتالیا، ژنرال لاستوچی را به اسارت گرفتند. در 28 ژوئن، مارشال ایتالو بالبو، حاکم کل لیبی و وارث ظاهری موسولینی، هنگام فرود در طبرق با آتش خودی کشته شد.,چه اتفاقی برای مهندس ارشد ارتش دهم ایتالیا افتاد؟,3,"<answer>3</answer>

<explanation>در متن گفته شده که انگلیسی‌ها مهندس ارشد ارتش دهم ایتالیا را به اسارت گرفتند. همچنین اشاره شده که این اتفاق در کمینی شرق بردیا افتاده است. با توجه به این اطلاعات، پاسخ صحیح گزینه 3 است که بیان می‌کند او توسط بریتانیایی‌ها به اسارت گرفته شد.</explanation>

<highlight>در کمین شرق بردیا، انگلیسی‌ها مهندس ارشد ارتش دهم ایتالیا، ژنرال لاستوچی را به اسارت گرفتند.</highlight>

<keywords>['ایتالیا', 'جنگ', 'لیبی', 'بریتانیا', 'به اسارت گرفتن', 'ارتش', 'کمین']</keywords>",در Fort Capuzzo به اسارت گرفته شد,در طبرق کشته شد,توسط بریتانیایی‌ها به اسارت گرفته شد,با آتش خودی کشته شد,3,در متن گفته شده که انگلیسیها مهندس ارشد ارتش دهم ایتالیا را به اسارت گرفتند. همچنین اشاره شده که این اتفاق در کمینی شرق بردیا افتاده است. با توجه به این اطلاعات، پاسخ صحیح گزینه 3 است که بیان میکند او توسط بریتانیاییها به اسارت گرفته شد.,در کمین شرق بردیا، انگلیسیها مهندس ارشد ارتش دهم ایتالیا، ژنرال لاستوچی را به اسارت گرفتند.,"[""'ایتالیا'"", ""'جنگ'"", ""'لیبی'"", ""'بریتانیا'"", ""'به اسارت گرفتن'"", ""'ارتش'"", ""'کمین'""]"
31,کازینوها معمولاً تلاش فراوان می‌کنند تا زمان و پولی که مهمان‌ها صرف می‌کنند به حداکثر برسد. پنجره‌ و ساعت معمولاً وجود ندارد و راه خروجی‌ها به سختی یافت می‌شود. آنها معمولاً غذا، نوشیدنی و سرگرمی ویژه‌ای ارائه می‌دهند تا مهمان‌ها سرحال باشند و در محل بمانند. برخی سالن‌ها مشروبات الکلی ارائه می دهند. با این حال، مستی قضاوت را مختل می کند، و همه قماربازان خوب اهمیت هوشیار بودن را می دانند.,مطابق با متن، قمارباز هوشمند از چه چیز باید اجتناب کند؟,1,"<answer>1</answer>

<explanation>متن اشاره می‌کند که مستی قضاوت را مختل می‌کند و قماربازان خوب اهمیت هوشیاری را می‌دانند. بنابراین، یک قمارباز هوشمند باید از نوشیدن الکل زیاد خودداری کند تا هوشیاری خود را حفظ کند و قضاوت بهتری داشته باشد.</explanation>

<highlight>مستی قضاوت را مختل می‌کند و همه قماربازان خوب اهمیت هوشیار بودن را می‌دانند.</highlight>

<keywords> ['کازینو', 'مستی', 'قضاوت', 'هوشیاری', 'قمارباز'] </keywords>",نوشیدن الکل زیاد,قبول هر مشوقی,بررسی ساعت,پرسیدن درباره نزدیکترین خروجی,1,متن اشاره میکند که مستی قضاوت را مختل میکند و قماربازان خوب اهمیت هوشیاری را میدانند. بنابراین، یک قمارباز هوشمند باید از نوشیدن الکل زیاد خودداری کند تا هوشیاری خود را حفظ کند و قضاوت بهتری داشته باشد.,مستی قضاوت را مختل میکند و همه قماربازان خوب اهمیت هوشیار بودن را میدانند.,"[""'کازینو'"", ""'مستی'"", ""'قضاوت'"", ""'هوشیاری'"", ""'قمارباز'""]"
32,ACMA همچنین نتیجه گرفت که علیرغم اینکه این ویدئو در اینترنت پخش شده است ولی Big Brother از قوانین سانسور محتوای آنلاین تخطی نکرده است، زیرا این رسانه‌ها در وب‌سایت Big Brother ذخیره نشده بودند. قانون خدمات پخش مقررات محتوای اینترنتی را مشخص می‌کند، اما وقتی محتوایی جزء محتوای اینترنتی محسوب می‌شود که به‌شکل فیزیکی روی یک سرور مستقر باشد.,یافته‌های ACMA در رابطه با Big Brother چه بود؟,1,"<answer>1</answer>

<explanation>ACMA نتیجه گرفت که Big Brother قوانین سانسور محتوا را نقض نکرده است، زیرا رسانه‌های مورد بحث در وب‌سایت آنها ذخیره نشده بودند. قانون خدمات پخش، مقررات مربوط به محتوای اینترنتی را پوشش می‌دهد، اما این قوانین فقط زمانی اعمال می‌شوند که محتوا به‌صورت فیزیکی روی یک سرور قرار داشته باشد.</explanation>

<highlight>ACMA نتیجه گرفت که Big Brother قوانین سانسور محتوا را نقض نکرده است، زیرا رسانه‌ها در وب‌سایت آنها ذخیره نشده بودند.</highlight>

<keywords> ['ACMA'، 'قوانین سانسور'، 'محتوای آنلاین'، 'وب‌سایت Big Brother'، 'قانون خدمات پخش'، 'محتوای اینترنتی'، 'سرور فیزیکی']</keywords>",قوانین سانسور نقض نشده بود,مشخص شد که رسانه در وب‌سایت Big Brother ذخیره شده است,قوانین سانسور نقض شده بود,مشخص شد که محتوا به صورت فیزیکی در یک سرور قرار گرفته است,1,ACMA نتیجه گرفت که Big Brother قوانین سانسور محتوا را نقض نکرده است، زیرا رسانههای مورد بحث در وبسایت آنها ذخیره نشده بودند. قانون خدمات پخش، مقررات مربوط به محتوای اینترنتی را پوشش میدهد، اما این قوانین فقط زمانی اعمال میشوند که محتوا بهصورت فیزیکی روی یک سرور قرار داشته باشد.,ACMA نتیجه گرفت که Big Brother قوانین سانسور محتوا را نقض نکرده است، زیرا رسانهها در وبسایت آنها ذخیره نشده بودند.,"[""'ACMA'، 'قوانین سانسور'، 'محتوای آنلاین'، 'وبسایت Big Brother'، 'قانون خدمات پخش'، 'محتوای اینترنتی'، 'سرور فیزیکی'""]"
33,در جلسه ارائه راهبردی نمایشگاه بازی‌های توکیو در روز پنجشنبه، رئیس شرکت نینتندو آقای «ساترو ایواتا» از طراحی دسته کنسول «Nintendo Revolution» که کنسول جدید این شرکت است رونمایی کرد. این کنترلر شبیه به ریموت کنترل تلویزیون است و از دو سنسور که در نزدیکی تلویزیون کاربر قرار داده شده و علم مثلثات برای تعیین موقعیت خود در فضای سه بعدی استفاده می‌کند. این به بازیکنان امکان خواهد داد تا اقدامات و حرکت‌ها را در بازی‌های ویدئویی توسط حرکت دستگاه در هوا کنترل کنند.,بازیکن به چه چیزی نیاز خواهد داشت تا حرکات را درطول یک بازی ویدئویی کنترل کند؟,4,"<answer>4</answer>

<explanation>در متن گفته شده که دسته جدید کنسول Nintendo Revolution به بازیکنان امکان می‌دهد تا «اقدامات و حرکت‌ها را در بازی‌های ویدئویی توسط حرکت دستگاه در هوا کنترل کنند». بنابراین، بازیکن برای کنترل حرکات در بازی ویدئویی باید «کنترلر را در هوا حرکت دهد».</explanation>

<highlight>«این به بازیکنان امکان خواهد داد تا اقدامات و حرکت‌ها را در بازی‌های ویدئویی توسط حرکت دستگاه در هوا کنترل کنند»</highlight>

<keywords> [""دسته""، ""کنترلر""، ""سنسور""، ""تلویزیون""، ""فضای سه بعدی""، ""حرکت در هوا""، ""کنترل بازی""]</keywords>",اطمینان از اینکه سنسورهای کنترلر نزدیک کنسول قرار گیرند,مثلثی کردن موقعیت آنها,قرار دادن سنسورها نزدیک تلویزیون,حرکت دادن کنترلر در هوا,4,در متن گفته شده که دسته جدید کنسول Nintendo Revolution به بازیکنان امکان میدهد تا «اقدامات و حرکتها را در بازیهای ویدئویی توسط حرکت دستگاه در هوا کنترل کنند». بنابراین، بازیکن برای کنترل حرکات در بازی ویدئویی باید «کنترلر را در هوا حرکت دهد».,«این به بازیکنان امکان خواهد داد تا اقدامات و حرکتها را در بازیهای ویدئویی توسط حرکت دستگاه در هوا کنترل کنند»,"['""دسته""، ""کنترلر""، ""سنسور""، ""تلویزیون""، ""فضای سه بعدی""، ""حرکت در هوا""، ""کنترل بازی""']"
34,او به همراه آن مقامات به شهروندان تگزاس اطمینان خاطر داد که اقداماتی برای حفاظت از ایمنی عمومی در حال انجام است. «پری» بویژه بیان کرد: «کمتر مکانی در دنیا مجهزتر از اینجا وجود دارد که برای مقابله با این مورد چالش‌انگیز آمادگی داشته باشد.» فرماندار همچنین اظهار داشت: «امروز دریافتیم که برخی از کودکان مدرسه‌ای شناسایی شده‌اند که با بیمار تماس داشته‌اند.» وی در ادامه گفت: «این پرونده جدی است. مطمئن باشید سیستم ما آنطور که باید کار می‌کند.»,مطابق با متن، فرماندار هنگام سخنرانی برای شهروندان تگزاس چه تضمینی نداد؟,4,"<answer>1</answer>

<explanation>فرماندار تگزاس به شهروندان اطمینان داد که اقداماتی برای محافظت از ایمنی عمومی در حال انجام است و سیستم آنها به خوبی کار می‌کند. او گفت: «این پرونده جدی است. مطمئن باشید سیستم ما آنطور که باید کار می‌کند.» این نشان می‌دهد که او تضمین می‌کند سیستم به خوبی کار می‌کند و این پرونده را جدی می‌گیرند.</explanation>

<highlight>«این پرونده جدی است. مطمئن باشید سیستم ما آنطور که باید کار می‌کند.»</highlight>

<keywords>[""تضمین"", ""ایمنی عمومی"", ""سیستم"", ""پرونده"", ""جدی""]</keywords>",سیستم به‌خوبی کار می‌کند,کارهایی برای حفاظت از ایمنی عموم درحال انجام است,آنها ابزار لازم را برای رویارویی با این چالش دارند,این پرونده جدی نیست,1,فرماندار تگزاس به شهروندان اطمینان داد که اقداماتی برای محافظت از ایمنی عمومی در حال انجام است و سیستم آنها به خوبی کار میکند. او گفت: «این پرونده جدی است. مطمئن باشید سیستم ما آنطور که باید کار میکند.» این نشان میدهد که او تضمین میکند سیستم به خوبی کار میکند و این پرونده را جدی میگیرند.,«این پرونده جدی است. مطمئن باشید سیستم ما آنطور که باید کار میکند.»,"['""تضمین""', '""ایمنی عمومی""', '""سیستم""', '""پرونده""', '""جدی""']"
35,بدلیل قرار گرفتن اوکلند بین دو بندرگاه، ساحل‌های بسیاری وجود دارند. محبوب‌ترین آنها در سه ناحیه قرار دارند. سواحل نورث شور (در منطقه نورث هاربر) در اقیانوس آرام است و از لانگ بی در شمال تا دونپورت در جنوب امتداد دارد. آنها تقریباً همه سواحل شنی هستند که شنا در آنها ایمن است و اکثر آنها دارای سایه درختان پوهوتوکاوا است. سواحل تاماکی درایو در بندر وایتماتا، در حومه شهرهای معروف میشن بی و سنت هلییرز در اوکلند مرکزی قرار دارند. اینها سواحل خانوادگی هستند که گاهی اوقات شلوغند و دارای فروشگاه های خوبی در امتداد ساحل می‌باشند. شنا کردن بی خطر است.,مطابق با متن، شرایط شنا احتمالاً در کجا ایمن‌تر است؟,3,"<answer>2</answer>

<explanation>در متن گفته شده است که سواحل نورث شور که در منطقه نورث هاربر قرار دارند، ""تقریباً همه سواحل شنی"" هستند و ""شنا در آنها ایمن است"". بنابراین، احتمالاً شنا در منطقه نورث هاربر امن‌تر است.</explanation>

<highlight>آنها تقریباً همه سواحل شنی هستند که شنا در آنها ایمن است و اکثر آنها دارای سایه درختان پوهوتوکاوا است.</highlight>

<keywords>[""اوکلند""، ""بندرگاه""، ""ساحل""، ""نورث شور""، ""نورث هاربر""، ""اقیانوس آرام""، ""لانگ بی""، ""دونپورت""، ""سواحل تاماکی""، ""بندر وایتماتا""، ""میشن بی""، ""سنت هلییرز""، ""اوکلند مرکزی""، ""شنا""]</keywords>",دونپورت,منطقه نورث هاربر,اوکلند مرکزی,لانگ‌بی,2,"در متن گفته شده است که سواحل نورث شور که در منطقه نورث هاربر قرار دارند، ""تقریباً همه سواحل شنی"" هستند و ""شنا در آنها ایمن است"". بنابراین، احتمالاً شنا در منطقه نورث هاربر امنتر است.",آنها تقریباً همه سواحل شنی هستند که شنا در آنها ایمن است و اکثر آنها دارای سایه درختان پوهوتوکاوا است.,"['""اوکلند""، ""بندرگاه""، ""ساحل""، ""نورث شور""، ""نورث هاربر""، ""اقیانوس آرام""، ""لانگ بی""، ""دونپورت""، ""سواحل تاماکی""، ""بندر وایتماتا""، ""میشن بی""، ""سنت هلییرز""، ""اوکلند مرکزی""، ""شنا""']"
36,ساز و کار ام‌آرآی بر پایه پدیده‌ای در علم فیزیک است به نام رزونانس مغناطیسی هسته‌ای (NMR)، که در دهه 1930 توسط فلیکس بلوچ (فعال در دانشگاه استانفورد) و ادوارد پورسل (از دانشگاه هاروارد) کشف شد. در این رزونانس، میدان مغناطیسی و امواج رادیویی باعث می‌شود اتم‌ها سیگنال‌های رادیویی کوچکی را از خود بیرون دهند. در سال 1970، ریموند دامادیان، پزشک و دانشمند محقق، اساس استفاده از تصویربرداری رزونانس مغناطیسی را به عنوان ابزاری برای تشخیص پزشکی کشف کرد. چهار سال بعد حق اختراعی اعطا شد که اولین حق اختراع صادره در جهان در زمینه ام‌آرآی بود. در سال 1977، دکتر دامادیان اولین اسکنر MRI «تمام بدن» را ساخت و آن را Indomitable (رام‌نشدنی) نامید.,چه کسی رزونانس مغناطیسی هسته‌ای را کشف کرد؟ ,3,"<answer>3</answer>

<explanation>فلیکس بلوچ و ادوارد پورسل پدیده رزونانس مغناطیسی هسته‌ای (NMR) را در دهه 1930 کشف کردند. این پدیده فیزیکی پایه و اساس فناوری تصویربرداری رزونانس مغناطیسی (MRI) است که بعدها توسط ریموند دامادیان برای استفاده در تشخیص پزشکی بکار گرفته شد.</explanation>

<highlight>فلیکس بلوچ (فعال در دانشگاه استانفورد) و ادوارد پورسل (از دانشگاه هاروارد) کشف کرد.</highlight>

<keywords>[""کشف""، ""رزونانس مغناطیسی هسته‌ای""، ""بلوچ""، ""پورسل""]</keywords>",پورسل,دامادیان,بلوچ و پورسل,بلوچ و دامادیان,3,فلیکس بلوچ و ادوارد پورسل پدیده رزونانس مغناطیسی هستهای (NMR) را در دهه 1930 کشف کردند. این پدیده فیزیکی پایه و اساس فناوری تصویربرداری رزونانس مغناطیسی (MRI) است که بعدها توسط ریموند دامادیان برای استفاده در تشخیص پزشکی بکار گرفته شد.,فلیکس بلوچ (فعال در دانشگاه استانفورد) و ادوارد پورسل (از دانشگاه هاروارد) کشف کرد.,"['""کشف""، ""رزونانس مغناطیسی هستهای""، ""بلوچ""، ""پورسل""']"
37,تیم ملی آفریقای جنوبی تیم ملی راگبی نیوزلند (All Blacks) را در یک مسابقه Tri Nations (سه ملیتی) اتحاد راگبی در ورزشگاه رویال بافوکنگ در راستنبرگ آفریقای جنوبی شکست داد. امتیاز نهایی یک پیروزی یک امتیازی، 21 بر 20 بود و به 15 برد متوالی All Blacks پایان داد. این مسابقه برای تیم اسپرینگ باکس منجر به پنجمین باخت پیاپی آن شد. این یک مسابقه نهایی برای All Blacks بود، که دو هفته پیش قهرمان این جام شده بود. هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی می‌کند.,چه تیم‌هایی در مسابقه الیس پارک بازی خواهند کرد؟,3,"<answer>3</answer>

<explanation>
در متن گفته شده که در مسابقه نهایی سری در ورزشگاه الیس پارک، تیم ملی راگبی آفریقای جنوبی (Springboks) با استرالیا بازی خواهد کرد.
</explanation>

<highlight>هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی می‌کند.</highlight>

<keywords> ['آفریقای جنوبی', 'استرالیا', 'الیس پارک', 'راگبی', 'مسابقه نهایی'] </keywords>",All Blacks و استرالیا,نیوزلند و آفریقای جنوبی,آفریقای جنوبی و استرالیا,اسپرینگ باکس و All Blacks,3,در متن گفته شده که در مسابقه نهایی سری در ورزشگاه الیس پارک، تیم ملی راگبی آفریقای جنوبی (Springboks) با استرالیا بازی خواهد کرد.,هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار میشود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی میکند.,"[""'آفریقای جنوبی'"", ""'استرالیا'"", ""'الیس پارک'"", ""'راگبی'"", ""'مسابقه نهایی'""]"
