Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4,Explanation:,Highlight,Keywords:
بازیکن منتخب امروز، الکس اوچکین از Washington Capitals است. او در برد 5-3 واشینگتن مقابل «آتلانتا تراشرز» 2 گل زد و 2 پاس گل داد. پاس گل اوچکین در آن شب موجب گل پیروزی‌ بخشی شد که توسط نیکلاس بکستروم تازه‌کار زده شد. دومین گل آن شب او شصتمین گل فصلش بود، و بدین ترتیب اولین بازیکنی شد که بعد از سال 96-1995، زمانی که جارومیر جاگر و ماریو لمیوکس هرکدام به آن رکورد دست یافتند، حداقل 60 گل در یک فصل به ثمر رسانده است.,چه کسی گل شصتم فصل را در طول بازی Capitals درمقابل تراشرز به ثمر رساند؟,3,3,ماریو لمیوکس,جارومیر جاگر,الکس اوچکین,نیکلاس بکستروم,در متن مشخص شده است که الکس اوچکین دومین گل آن شب را زد که شصتمین گل فصلش بود. بنابراین، او در طول بازی Capitals در مقابل تراشرز، گل شصتم فصل را به ثمر رساند. ,دومین گل آن شب او شصتمین گل فصلش بود,"['الکس اوچکین', 'شصتمین گل فصل', 'واشینگتن کپیتالز', 'تراشرز']"
تقریباً از همان ابتدا شرایط برای ایتالیایی‌ها در شمال آفریقا خوب پیش نرفت. در یک هفته‌ای که از اعلام جنگ ایتالیا در 10 ژوئن 1940 اعلام شد، نیروهای 11th Hussars بریتانیا موق شدند Fort Capuzzo را در لیبی تصرف کنند. در کمین شرق بردیا، انگلیسی‌ها مهندس ارشد ارتش دهم ایتالیا، ژنرال لاستوچی را به اسارت گرفتند. در 28 ژوئن، مارشال ایتالو بالبو، حاکم کل لیبی و وارث ظاهری موسولینی، هنگام فرود در طبرق با آتش خودی کشته شد.,چه اتفاقی برای مهندس ارشد ارتش دهم ایتالیا افتاد؟,3,3,در Fort Capuzzo به اسارت گرفته شد,در طبرق کشته شد,توسط بریتانیایی‌ها به اسارت گرفته شد,با آتش خودی کشته شد,در متن به صراحت ذکر شده است که در کمین شرق بردیا، انگلیسی‌ها مهندس ارشد ارتش دهم ایتالیا، ژنرال لاستوچی را به اسارت گرفتند. این اتفاق در همان هفته‌ای رخ داد که ایتالیا در 10 ژوئن 1940 اعلام جنگ کرد. بنابراین، پاسخ صحیح گزینه 3 است. این اتفاق نشان‌دهنده موفقیت نیروهای بریتانیایی در به اسارت گرفتن یکی از مقامات ارشد ارتش ایتالیا در اوایل جنگ است.,در کمین شرق بردیا، انگلیسی‌ها مهندس ارشد ارتش دهم ایتالیا، ژنرال لاستوچی را به اسارت گرفتند.,"['ارتش دهم ایتالیا', 'ژنرال لاستوچی', 'به اسارت گرفته شد', 'بریتانیایی\u200cها', '10 ژوئن 1940']"
کازینوها معمولاً تلاش فراوان می‌کنند تا زمان و پولی که مهمان‌ها صرف می‌کنند به حداکثر برسد. پنجره‌ و ساعت معمولاً وجود ندارد و راه خروجی‌ها به سختی یافت می‌شود. آنها معمولاً غذا، نوشیدنی و سرگرمی ویژه‌ای ارائه می‌دهند تا مهمان‌ها سرحال باشند و در محل بمانند. برخی سالن‌ها مشروبات الکلی ارائه می دهند. با این حال، مستی قضاوت را مختل می کند، و همه قماربازان خوب اهمیت هوشیار بودن را می دانند.,مطابق با متن، قمارباز هوشمند از چه چیز باید اجتناب کند؟,1,1,نوشیدن الکل زیاد,قبول هر مشوقی,بررسی ساعت,پرسیدن درباره نزدیکترین خروجی,در متن به این نکته اشاره شده است که «مستی قضاوت را مختل می‌کند». این جمله نشان می‌دهد که مصرف الکل زیاد می‌تواند بر قضاوت قمارباز تاثیر منفی بگذارد و به همین دلیل، قمارباز هوشمند باید از نوشیدن الکل زیاد اجتناب کند. این استراتژی به او کمک می‌کند تا هوشیاری خود را حفظ کند و تصمیمات بهتری در قمار بگیرد. همچنین، این جمله نشان می‌دهد که مصرف الکل می‌تواند یکی از عوامل اصلی در از دست دادن کنترل و قضاوت درست در قمار باشد. ,مستی قضاوت را مختل می‌کند,"['مستی', 'قضاوت', 'هوشیار بودن', 'الکل']"
ACMA همچنین نتیجه گرفت که علیرغم اینکه این ویدئو در اینترنت پخش شده است ولی Big Brother از قوانین سانسور محتوای آنلاین تخطی نکرده است، زیرا این رسانه‌ها در وب‌سایت Big Brother ذخیره نشده بودند. قانون خدمات پخش مقررات محتوای اینترنتی را مشخص می‌کند، اما وقتی محتوایی جزء محتوای اینترنتی محسوب می‌شود که به‌شکل فیزیکی روی یک سرور مستقر باشد.,یافته‌های ACMA در رابطه با Big Brother چه بود؟,1,1,قوانین سانسور نقض نشده بود,مشخص شد که رسانه در وب‌سایت Big Brother ذخیره شده است,قوانین سانسور نقض شده بود,مشخص شد که محتوا به صورت فیزیکی در یک سرور قرار گرفته است,در متن ارائه شده، ACMA به این نتیجه می‌رسد که Big Brother قوانین سانسور محتوای آنلاین را نقض نکرده است. دلیل این امر آن است که رسانه‌های مورد بحث در وب‌سایت Big Brother ذخیره نشده بودند. این استدلال نشان می‌دهد که ACMA بر این باور است که قوانین سانسور در مورد محتوای آنلاین فقط زمانی اعمال می‌شود که محتوا به صورت فیزیکی روی یک سرور قرار داشته باشد. بنابراین، پاسخ صحیح گزینه 1 است. ,قانون خدمات پخش مقررات محتوای اینترنتی را مشخص می‌کند، اما وقتی محتوایی جزء محتوای اینترنتی محسوب می‌شود که به‌شکل فیزیکی روی یک سرور مستقر باشد.,"['قوانین سانسور', 'محتوای آنلاین', 'سرور', 'ACMA', 'Big Brother']"
در جلسه ارائه راهبردی نمایشگاه بازی‌های توکیو در روز پنجشنبه، رئیس شرکت نینتندو آقای «ساترو ایواتا» از طراحی دسته کنسول «Nintendo Revolution» که کنسول جدید این شرکت است رونمایی کرد. این کنترلر شبیه به ریموت کنترل تلویزیون است و از دو سنسور که در نزدیکی تلویزیون کاربر قرار داده شده و علم مثلثات برای تعیین موقعیت خود در فضای سه بعدی استفاده می‌کند. این به بازیکنان امکان خواهد داد تا اقدامات و حرکت‌ها را در بازی‌های ویدئویی توسط حرکت دستگاه در هوا کنترل کنند.,بازیکن به چه چیزی نیاز خواهد داشت تا حرکات را درطول یک بازی ویدئویی کنترل کند؟,4,4,اطمینان از اینکه سنسورهای کنترلر نزدیک کنسول قرار گیرند,مثلثی کردن موقعیت آنها,قرار دادن سنسورها نزدیک تلویزیون,حرکت دادن کنترلر در هوا,در این متن، به فناوری جدیدی در کنترلر کنسول Nintendo Revolution اشاره شده است که به بازیکنان اجازه می‌دهد تا با حرکت دادن دستگاه در هوا، حرکات و اقدامات را در بازی‌های ویدئویی کنترل کنند. این فناوری مبتنی بر سنسورهایی است که موقعیت خود را در فضای سه بعدی محاسبه می‌کنند. بنابراین، پاسخ صحیح، گزینه 4 است: 'حرکت دادن کنترلر در هوا'.,این به بازیکنان امکان خواهد داد تا اقدامات و حرکت‌ها را در بازی‌های ویدئویی توسط حرکت دستگاه در هوا کنترل کنند.,"['کنترلر', 'سنسور', 'حرکت در هوا', 'کنترل بازی', 'Nintendo Revolution']"
او به همراه آن مقامات به شهروندان تگزاس اطمینان خاطر داد که اقداماتی برای حفاظت از ایمنی عمومی در حال انجام است. «پری» بویژه بیان کرد: «کمتر مکانی در دنیا مجهزتر از اینجا وجود دارد که برای مقابله با این مورد چالش‌انگیز آمادگی داشته باشد.» فرماندار همچنین اظهار داشت: «امروز دریافتیم که برخی از کودکان مدرسه‌ای شناسایی شده‌اند که با بیمار تماس داشته‌اند.» وی در ادامه گفت: «این پرونده جدی است. مطمئن باشید سیستم ما آنطور که باید کار می‌کند.»,مطابق با متن، فرماندار هنگام سخنرانی برای شهروندان تگزاس چه تضمینی نداد؟,4,4,سیستم به‌خوبی کار می‌کند,کارهایی برای حفاظت از ایمنی عموم درحال انجام است,آنها ابزار لازم را برای رویارویی با این چالش دارند,این پرونده جدی نیست,در این متن، فرماندار «پری» به شهروندان تگزاس اطمینان می‌دهد که اقداماتی برای حفظ ایمنی عمومی در حال انجام است و سیستم به خوبی عمل می‌کند. او همچنین تأکید می‌کند که این پرونده جدی است. اما در هیچ بخشی از متن، فرماندار تضمینی در مورد جدی نبودن پرونده نمی‌دهد. برعکس، او بر اهمیت و چالش‌برانگیز بودن آن تأکید می‌کند. بنابراین، گزینه 4 صحیح است. ,مطمئن باشید سیستم ما آنطور که باید کار می‌کند. این پرونده جدی است.,"['تضمین', 'فرماندار', 'ایمنی عمومی', 'سیستم', 'پرونده', 'جدی']"
بدلیل قرار گرفتن اوکلند بین دو بندرگاه، ساحل‌های بسیاری وجود دارند. محبوب‌ترین آنها در سه ناحیه قرار دارند. سواحل نورث شور (در منطقه نورث هاربر) در اقیانوس آرام است و از لانگ بی در شمال تا دونپورت در جنوب امتداد دارد. آنها تقریباً همه سواحل شنی هستند که شنا در آنها ایمن است و اکثر آنها دارای سایه درختان پوهوتوکاوا است. سواحل تاماکی درایو در بندر وایتماتا، در حومه شهرهای معروف میشن بی و سنت هلییرز در اوکلند مرکزی قرار دارند. اینها سواحل خانوادگی هستند که گاهی اوقات شلوغند و دارای فروشگاه های خوبی در امتداد ساحل می‌باشند. شنا کردن بی خطر است.,مطابق با متن، شرایط شنا احتمالاً در کجا ایمن‌تر است؟,3,2,دونپورت,منطقه نورث هاربر,اوکلند مرکزی,لانگ‌بی,در متن به صراحت بیان شده است که سواحل نورث شور، که در منطقه نورث هاربر قرار دارند، برای شنا ایمن هستند. این سواحل شنی بوده و سایه درختان پوهوتوکاوا را نیز دارا می‌باشند. در حالی که سواحل تاماکی درایو در اوکلند مرکزی نیز برای شنا ایمن هستند، اما به نظر می‌رسد سواحل نورث شور به دلیل ویژگی‌های ذکر شده، گزینه ایمن‌تری به حساب می‌آیند. بنابراین، منطقه نورث هاربر احتمالاً برای شنا ایمن‌تر است. ,سواحل نورث شور (در منطقه نورث هاربر) در اقیانوس آرام است و از لانگ بی در شمال تا دونپورت در جنوب امتداد دارد. آنها تقریباً همه سواحل شنی هستند که شنا در آنها ایمن است و اکثر آنها دارای سایه درختان پوهوتوکاوا است.,"['سواحل نورث شور', 'نورث هاربر', 'شنا ایمن', 'سایه درختان پوهوتوکاوا']"
ساز و کار ام‌آرآی بر پایه پدیده‌ای در علم فیزیک است به نام رزونانس مغناطیسی هسته‌ای (NMR)، که در دهه 1930 توسط فلیکس بلوچ (فعال در دانشگاه استانفورد) و ادوارد پورسل (از دانشگاه هاروارد) کشف شد. در این رزونانس، میدان مغناطیسی و امواج رادیویی باعث می‌شود اتم‌ها سیگنال‌های رادیویی کوچکی را از خود بیرون دهند. در سال 1970، ریموند دامادیان، پزشک و دانشمند محقق، اساس استفاده از تصویربرداری رزونانس مغناطیسی را به عنوان ابزاری برای تشخیص پزشکی کشف کرد. چهار سال بعد حق اختراعی اعطا شد که اولین حق اختراع صادره در جهان در زمینه ام‌آرآی بود. در سال 1977، دکتر دامادیان اولین اسکنر MRI «تمام بدن» را ساخت و آن را Indomitable (رام‌نشدنی) نامید.,چه کسی رزونانس مغناطیسی هسته‌ای را کشف کرد؟ ,3,3,پورسل,دامادیان,بلوچ و پورسل,بلوچ و دامادیان,در متن به صراحت ذکر شده است که رزونانس مغناطیسی هسته‌ای (NMR) توسط فلیکس بلوچ و ادوارد پورسل کشف شد. اگرچه ریموند دامادیان اساس استفاده از این پدیده را به عنوان ابزاری برای تشخیص پزشکی کشف کرد، اما کشف خود پدیده رزونانس مغناطیسی هسته‌ای به بلوچ و پورسل نسبت داده می‌شود. بنابراین، انتخاب منطقی و درست، گزینه 3 است. ,رزونانس مغناطیسی هسته‌ای (NMR)، که در دهه 1930 توسط فلیکس بلوچ (فعال در دانشگاه استانفورد) و ادوارد پورسل (از دانشگاه هاروارد) کشف شد.,"['فلیکس بلوچ', 'ادوارد پورسل', 'رزونانس مغناطیسی هسته\u200cای', 'NMR', 'ریموند دامادیان']"
تیم ملی آفریقای جنوبی تیم ملی راگبی نیوزلند (All Blacks) را در یک مسابقه Tri Nations (سه ملیتی) اتحاد راگبی در ورزشگاه رویال بافوکنگ در راستنبرگ آفریقای جنوبی شکست داد. امتیاز نهایی یک پیروزی یک امتیازی، 21 بر 20 بود و به 15 برد متوالی All Blacks پایان داد. این مسابقه برای تیم اسپرینگ باکس منجر به پنجمین باخت پیاپی آن شد. این یک مسابقه نهایی برای All Blacks بود، که دو هفته پیش قهرمان این جام شده بود. هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی می‌کند.,چه تیم‌هایی در مسابقه الیس پارک بازی خواهند کرد؟,3,3,All Blacks و استرالیا,نیوزلند و آفریقای جنوبی,آفریقای جنوبی و استرالیا,اسپرینگ باکس و All Blacks,با توجه به متن، مسابقه الیس پارک بین تیم‌های ملی راگبی آفریقای جنوبی و استرالیا برگزار خواهد شد. در متن آمده است: «هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی می‌کند.» بنابراین، پاسخ صحیح گزینه 3 است. این مسابقه در ادامه سری مسابقات Tri Nations (سه ملیتی) برگزار می‌شود و تیم‌های حاضر در آن مشخص شده‌اند. ,هفته بعد مسابقه نهایی این سری در ورزشگاه الیس پارک در ژوهانسبورگ برگزار می‌شود و تیم ملی راگبی آفریقای جنوبی Springboks با استرالیا بازی می‌کند.,"['آفریقای جنوبی', 'استرالیا', 'الیس پارک', 'مسابقه', 'تیم ملی راگبی']"
براساس گزارش‌ها، یک آپارتمان در خیابان مکبث به دلیل نشت گاز منفجر شد. پس از آنكه يكی از همسایه‌ها درباره نشت گاز تماس گرفت، يكی از مقام‌های شركت گاز در محل رویداد در حال ارائه گزارش بود. وقتی مقام رسمی از راه رسید، آپارتمان منفجر شد. هیچ مصدومیت عمده ای گزارش نشده است، اما حداقل پنج نفر در زمان انفجار در آن صحنه به دلیل علائم شوک تحت درمان قرار گرفتند. هیچ کس در آپارتمان حضور نداشت. در آن موقع، تقریباً 100 نفر از ساکنان آن منطقه از آنجا بیرون برده شده بودند.,چه کسی نشت گاز را گزارش داد؟,1,1,یکی از همسایگان در آپارتمان,فردی که در آپارتمان زندگی می‌کرد,از مقام‌های شرکت گاز,مدیر آپارتمان,در متن آمده است که «یکی از همسایه‌ها درباره نشت گاز تماس گرفت». این جمله نشان می‌دهد که فردی که نشت گاز را گزارش داده، یکی از ساکنان آپارتمان‌های مجاور بوده است. بنابراین، گزینه 1 درست است. این گزارش توسط یکی از ساکنان محلی داده شده است، نه توسط فردی که در آپارتمان زندگی می‌کرد، مقام‌های شرکت گاز، یا مدیر آپارتمان. این واقعیت که ساکنان محلی از این موضوع آگاه بودند، نشان دهنده اهمیت آگاهی و نظارت بر چنین شرایط خطرناکی است. ,یکی از همسایه‌ها درباره نشت گاز تماس گرفت,"['نشت گاز', 'همسایه', 'تماس', 'گزارش', 'مقام\u200cهای شركت گاز']"
پس از صدها ساعت کار، رشته لامپ در نهایت می‌سوزد و لامپ دیگر کار نمی‌کند. سپس حباب لامپ باید تعویض گردد. هنگام تعویض حباب لامپ باید مراقب بود. ابتدا،‌ کلید متصل به لامپ باید خاموش گردد یا سیم آن قطع گردد. دلیلش این است که الکتریسیته‌ای که به داخل سوکت در محل قرارگیری قسمت فلزی حباب روانه می‌شود می‌تواند شوک الکتریکی شدیدی به شما بدهد البته اگر به داخل سوکت یا پایه فلزی حباب در حالی که بخشی از آن داخل سوکت است دست بزنید.,هنگام تعویض لامپ، لمس کدام یک از موارد زیر می‌تواند خطرناک باشد؟,3,3,رشته,کلید لامپ,پایه لامپ,سیم ,در متن ارائه شده، به صراحت به خطرات احتمالی هنگام تعویض لامپ اشاره شده است. در این میان، به دلیل وجود جریان الکتریکی در سوکت و پایه فلزی لامپ، لمس این قسمت‌ها می‌تواند منجر به شوک الکتریکی شود. بنابراین، گزینه 3، یعنی «پایه لامپ»، پاسخ صحیح است. این نکته در متن به صورت واضح بیان شده است: «دلیلش این است که الکتریسیته‌ای که به داخل سوکت در محل قرارگیری قسمت فلزی حباب روانه می‌شود می‌تواند شوک الکتریکی شدیدی به شما بدهد البته اگر به داخل سوکت یا پایه فلزی حباب در حالی که بخشی از آن داخل سوکت است دست بزنید.»,دلیلش این است که الکتریسیته‌ای که به داخل سوکت در محل قرارگیری قسمت فلزی حباب روانه می‌شود می‌تواند شوک الکتریکی شدیدی به شما بدهد البته اگر به داخل سوکت یا پایه فلزی حباب در حالی که بخشی از آن داخل سوکت است دست بزنید.,"['شوک الکتریکی', 'تعویض لامپ', 'پایه فلزی', 'سوکت', 'جریان الکتریکی']"
"به نظر می‌رسد که بزها ابتدا حدود 10,000 سال پیش در کوه‌های زاگرس ایران اهلی شده باشند. فرهنگهای کهن و قبایل شروع به نگهداری از آنها برای دسترسی آسان به شیر، پشم، گوشت، و پوست کردند. بزهای اهلی بطور کل بصورت گله‌ای روی تپه‌ها یا سایر مناطق چرا نگهداری می‌شدند و اغلب توسط بزچران‌هایی که اغلب کودک و نوجوان بودند مشابه چوپانان معمول تیمار می‌شدند. این روش‌های گله‌داری هنوز امروزه بکار می‌روند.",کدام یک از موارد زیر دلیلی بر نگهداری بز در فرهنگ‌های باستانی نبود؟,3,3,امکان دسترسی به گوشت را فراهم می‌کردند,به کوتاه کردن چمن‌ها کمک می‌کردند,نقش همراه را داشتند,دسترسی به شیر را فراهم می‌کردند,در متن ارائه شده، دلایل نگهداری بزها در فرهنگ‌های باستانی به شرح زیر است: دسترسی به شیر، پشم، گوشت، و پوست. هیچ اشاره‌ای به نقش همراه بودن بزها نشده است. بنابراین، گزینه 3 صحیح است. ,فرهنگهای کهن و قبایل شروع به نگهداری از آنها برای دسترسی آسان به شیر، پشم، گوشت، و پوست کردند.,"['دسترسی به شیر', 'پشم', 'گوشت', 'پوست']"
ستارگان به دلیل انرژی ایجاد شده هنگام ادغام (یا ذوب شدن) اتم های هیدروژن برای ساخت عناصر سنگین تر، نور و گرما تولید می‌کنند. دانشمندان در تلاش هستند رآکتوری بسازند که به همان روش انرژی تولید کند. با این حال، حل این مشکل کار بسیار سختی است و تا ساخت راکتورهای مفید فیوژن سال‌ها طول خواهد کشید.,یک راکتور همجوشی کارامد کدام یک از موارد زیر را تولید خواهد کرد؟,4,4,هیدروژن,ستاره‌ها,اتم‌ها,انرژی,از متن مشخص است که ستارگان با ادغام اتم‌های هیدروژن، انرژی تولید می‌کنند. دانشمندان نیز در تلاش هستند تا راکتوری بسازند که از همین روش برای تولید انرژی استفاده کند. بنابراین، یک راکتور همجوشی کارآمد، انرژی تولید خواهد کرد. ,ستارگان به دلیل انرژی ایجاد شده هنگام ادغام (یا ذوب شدن) اتم های هیدروژن برای ساخت عناصر سنگین تر، نور و گرما تولید می‌کنند. دانشمندان در تلاش هستند رآکتوری بسازند که به همان روش انرژی تولید کند.,"['ستارگان', 'اتم\u200cهای هیدروژن', 'انرژی', 'راکتور همجوشی', 'تولید انرژی']"
یکی از شایع‌ترین مشکلات هنگام تبدیل کردن فیلم به قالب DVD بیرون زدن تصویر از کادر است. اکثر تلویزیون‌ها طوری ساخته شده‌است که مورد پسند مردم باشد. به آن دلیل، هر آنچه در تلویزیون مشاهده می‌کنید، کناره‌هایش از بالا، پایین و دو طرف برش خورده است. این برای اطمینان از آن ساخته شده تا تصویر به درستی در کل صفحه نمایش داده می‌شود. به آن overscan گفته می‌شود. متأسفانه وقتی یک DVD می‌سازید، کناره‌هایش نیز به احتمال زیاد از کادر خارج می‌شود و اگر زیرنویس این ویدئو به پایین تصویر خیلی نزدیک باشد، کامل نشان داده نمی‌شوند.,چرا کناره تصاویر در تلویزیون برش خورده می‌شود؟,2,2,برای ایجاد امکان زیرنویس نوشتن,برای اینکه تصویر با کل صفحه تطبیق پیدا کند,برای ایجاد امکان تبدیل ساده به فرمت‌های دیگر,برای بیش از اندازه نزدیک به پایین برش خوردن زیرنویس‌ها,در متن ارائه شده، توضیح داده شده است که اکثر تلویزیون‌ها به گونه‌ای طراحی شده‌اند که تصویر به درستی در کل صفحه نمایش داده شود و این امر به دلیل وجود ویژگی overscan است. این ویژگی باعث می‌شود که کناره‌های تصویر برش خورده و به اصطلاح 'از کادر خارج شود' تا تصویر به طور کامل در صفحه نمایش داده شود. بنابراین، دلیل برش خوردن کناره‌های تصویر در تلویزیون، تطبیق تصویر با کل صفحه نمایش است. ,این برای اطمینان از آن ساخته شده تا تصویر به درستی در کل صفحه نمایش داده می‌شود. به آن overscan گفته می‌شود.,"['تصویر', 'صفحه', 'برش', 'overscan']"
روش بارز پرواز با صندلی فرست کلاس یا بیزینس این است که مبلغ هنگفتی را در ازای امتیاز بسلفید (یا بهتر اینکه می‌توانید به شرکتتان بگویید که ترتیب این کار را بدهد). با این حال، ارزان بدست نمی‌آید: یک قانون کلی می‌گوید می‌توان انتظار داشت تا چهار برابر کرایه عادی که برای حالت اقتصادی پرداخت می‌شود برای حالت تجاری و یازده برابر آن را برای درجه یک بپردازید! بطور کل، جستجوی تخفیف برای صندلی‌های بیزینس و فرست کلاس در پروازها از نقطه A به B هیچ فایده‌ای ندارد. خطوط هوایی به خوبی می‌دانند که گروهی از مسافرین هوایی با شرایط اضطراری مایل به پرداخت پول زیاد برای دریافت مزیت سفر سریع و راحت می‌باشند و بر این اساس قیمت‌گذاری می‌کنند.,مطابق با متن، هنگام رزرو کلاس‌های بلیط مشخص، جستجو برای چه چیز وقت تلف کردن است؟,3,3,پروازهای مستقیم,کلاس بیزینس,تخفیف‌ها,فرست کلاس,متن به صراحت بیان می‌کند که جستجو برای تخفیف در کلاس‌های بیزینس و فرست کلاس بی‌فایده است. این بدان معناست که جستجو برای تخفیف در این موارد وقت تلف کردن است. این استدلال بر اساس درک قیمت‌گذاری خطوط هوایی و تقاضای مسافران برای پروازهای سریع و راحت است. به طور خاص، متن اشاره می‌کند که خطوط هوایی می‌دانند مسافران در شرایط اضطراری حاضرند مبالغ بیشتری برای این نوع پروازها بپردازند. بنابراین، جستجو برای تخفیف در این کلاس‌های بلیط، احتمالاً نتیجه‌ای نخواهد داشت.,جستجوی تخفیف برای صندلی‌های بیزینس و فرست کلاس در پروازها از نقطه A به B هیچ فایده‌ای ندارد. خطوط هوایی به خوبی می‌دانند که گروهی از مسافرین هوایی با شرایط اضطراری مایل به پرداخت پول زیاد برای دریافت مزیت سفر سریع و راحت می‌باشند و بر این اساس قیمت‌گذاری می‌کنند.,"['جستجوی تخفیف', 'صندلی\u200cهای بیزینس و فرست کلاس', 'قیمت\u200cگذاری', 'مسافران در شرایط اضطراری']"
آدام کوئردن، مدیر منابع مشترک، هنگام گفتگو با ویکی‌نیوز در ماه گذشته،‌ از این حذفیات ابراز سرخوردگی کرد. «او [ولز] از همان ابتدا به ما دروغ گفت. اول از همه، با وانمود کردن اینکه این به‌خاطر دلایل قانونی است. دوم، با وانمود کردن اینکه به حرف‌های ما گوش می‌کند، اما درست تا حذف هنرش پیش رفت.» خشم جامعه منجر به تلاش‌های جاری برای طرح سیاستی در خصوص محتوای جنسی برای این سایت شد که میزبان میلیون‌ها رسانه با دسترسی آزاد است.,کدام‌یک از موارد زیر دلیل سرخوردگی آدام کوئردن نیست؟,1,1,خط‌مشی جدید سایت درخصوص محتوای جنسی,حذف هنر ولز,عدم توجه ولز,دروغ‌ها درباره دلیل حذف هنر,آدام کوئردن در مصاحبه‌ای با ویکی‌نیوز، نارضایتی خود را از دروغ‌ها و رفتار جیمی ولز ابراز کرده است. او به دو دروغ ولز اشاره می‌کند: اول، وانمود کردن به وجود دلایل قانونی برای حذف محتوا و دوم، وانمود کردن به گوش دادن به دیگران در حالی که در نهایت هنر خود را حذف کرد. همچنین، کوئردن از عدم توجه ولز به دیگران انتقاد می‌کند. اما در این متن، هیچ اشاره‌ای به نارضایتی کوئردن از خط‌مشی جدید سایت درخصوص محتوای جنسی نشده است. برعکس، به نظر می‌رسد که او از تلاش‌های جاری برای طرح سیاستی در این خصوص حمایت می‌کند. بنابراین، تنها گزینه‌ای که نمی‌تواند دلیل سرخوردگی کوئردن باشد، خط‌مشی جدید سایت است.,او [ولز] از همان ابتدا به ما دروغ گفت. اول از همه، با وانمود کردن اینکه این به‌خاطر دلایل قانونی است. دوم، با وانمود کردن اینکه به حرف‌های ما گوش می‌کند، اما درست تا حذف هنرش پیش رفت.»,"['آدام کوئردن', 'سرخوردگی', 'دروغ', 'عدم توجه', 'حذف هنر', 'سیاست محتوای جنسی']"
طوفان استوایی دانیل، که چهارمین طوفان در فصل طوفان‌های اقیانوس اطلس در سال 2010 است، در اقیانوس اطلس شرقی شکل گرفته است. طوفان، که در فاصله تقریبی 3000 مایل از میامی، فلوریدا واقع شده است، حداکثر پایداری سرعت وزش باد 40 مایل بر ساعت (64 کیلومتر بر ساعت) را دارد. دانشمندان مرکز ملی طوفان پیش بینی می کنند که دانیل تا روز چهارشنبه تقویت می‌شود و به یک طوفان تبدیل می‌شود. از آنجا که طوفان بسیار دورتر از سطح زمین است، ارزیابی تأثیر احتمالی آن بر ایالات متحده یا کارائیب همچنان دشوار است.,چرا اندازه‌گیری تأثیر احتمالی طوفان استوایی دانیل چالش‌برانگیز است؟,3,3,پیش‌بینی می‌شود این طوفان به یک توفند شدت یابد,دانشمندان درباره پایداری سرعت وزش بادهای طوفان مطمئن نیستند,طوفان خیلی از خشکی فاصله دارد,طوفان فاصله خیلی زیادی از میامی دارد,در متن آمده است که طوفان دانیل در فاصله‌ای حدود 3000 مایلی از میامی قرار دارد و این فاصله زیاد از خشکی، ارزیابی تأثیر احتمالی آن را دشوار می‌کند. این فاصله زیاد، یکی از دلایل اصلی چالش‌برانگیز بودن پیش‌بینی تأثیر طوفان است. به همین دلیل، گزینه 3 صحیح است. ,از آنجا که طوفان بسیار دورتر از سطح زمین است، ارزیابی تأثیر احتمالی آن بر ایالات متحده یا کارائیب همچنان دشوار است.,"['طوفان استوایی دانیل', 'فاصله', 'ارزیابی تأثیر احتمالی', 'اقیانوس اطلس', '3000 مایل', 'میامی']"
در قدیم اینطور بود که وارث تاج و تخت درست پس از اتمام تحصیل به سربازی می‌رفت. با این حال، چارلز به دانشگاه در کالج ترینیتی در کمبریج رفت و در آنجا به تحصیل مردم‌شناسی و باستان‌شناسی مشغول شد، و بعدها به تاریخ پرداخت و مدرک 2:2 (مدرک با درجه دوم پایین) را کسب کرد. «چارلز» اولین عضو از خانواده سلطنتی بریتانیا بود که به او مدرک تحصیلی داده شده است.,با توجه به متن، کدام مورد برای وارث تاج و تخت عادی در نظر گرفته می‌شود؟,2,2,دریافت مدرک 2:2,رها کردن دانشگاه برای رفتن به سربازی,مطالعه تاریخ,تحصیل در دانشگاه پیش از رفتن به سربازی,در متن به این نکته اشاره شده است که وارث تاج و تخت معمولاً بلافاصله پس از اتمام تحصیل به سربازی می‌رفت. این امر نشان می‌دهد که رفتن به سربازی بدون اتمام تحصیلات دانشگاهی، امری عادی و مرسوم بوده است. در واقع، این سنت به این صورت بوده که وارث تاج و تخت پس از اتمام تحصیلات رسمی خود، به سربازی می‌رفته است. اما در مورد چارلز، او به دانشگاه رفت و تحصیلات دانشگاهی خود را به اتمام رساند و سپس مدرک 2:2 دریافت کرد. این امر نشان می‌دهد که رفتن به دانشگاه و دریافت مدرک تحصیلی، خارج از رویه معمول وارثان تاج و تخت بوده است. بنابراین، گزینه 2، رها کردن دانشگاه برای رفتن به سربازی، به عنوان یک رویه عادی و معمول در نظر گرفته می‌شود. ,در قدیم اینطور بود که وارث تاج و تخت درست پس از اتمام تحصیل به سربازی می‌رفت.,"['وارث تاج و تخت', 'سربازی', 'دانشگاه', 'مدرک تحصیلی']"
