,Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4,is_correct
188,حشرات اولین دسته از حیوانات بودند که به هوا می‌رفتند. توانایی‌شان در پرواز به آنها کمک کرد که راحت‌تر از دشمن بگریزند و بهتر بتوانند غذا و جفت پیدا کنند. اکثر حشرات این قابلیت را دارند که بال‌هایشان را از پشت در امتداد بدنشان برگردانند. این توانایی امکان پنهان شدن از دست شکارچیان را در طیف وسیع‌تری از فضاهای کوچک به آنها می‌دهد. امروزه تنها حشراتی که نمی‌توانند بال‌های خود را به پشت جمع کنند سنجاقک‌ها و پشه‌های یک‌روزه هستند.,کدام مورد در متن به عنوان چیزی که تحت تأثیر توانایی پرواز حشره است، ذکر نشده است؟,2,2,تولید مثل,طول عمر,جمع‌آوری غذا,کارائی,True
189,بسیاری از دیرینه‌شناسان امروزه معتقدند که یک گروه از دایناسورها نجات یافتند و امروز زنده هستند. ما به آنها پرنده می‌گوییم. از آنجایی که پر دارند و می‌توانند پرواز کنند، بسیاری از مردم آن‌ها را به‌عنوان دایناسور نمی‌شناسند. اما در مورد پرنده‌ها موارد زیادی وجود دارد که همچنان به دایناسور شباهت دارد. آنها پاها و پنجه‌های فلس‌دار دارند، تخم می‌گذارند و مانند تیرکس روی دو پای عقب خود راه می‌روند.,کدام یک از ویژگی‌های زیر معمولاً با دایناسورها مرتبط نیست؟,2,2,راه رفتن روی دو پای عقب,پرها,تخم‌گذاری,پاهای پنجه‌دار,True
190,بسیاری از دیرینه‌شناسان امروزه معتقدند که یک گروه از دایناسورها نجات یافتند و امروز زنده هستند. ما به آنها پرنده می‌گوییم. از آنجایی که پر دارند و می‌توانند پرواز کنند، بسیاری از مردم آن‌ها را به‌عنوان دایناسور نمی‌شناسند. اما در مورد پرنده‌ها موارد زیادی وجود دارد که همچنان به دایناسور شباهت دارد. آنها پاها و پنجه‌های فلس‌دار دارند، تخم می‌گذارند و مانند تیرکس روی دو پای عقب خود راه می‌روند.,کدام یک از موارد زیر معمولاً به عنوان ویژگی مشترک پرندگان و دایناسورها در نظر گرفته نمی‌شود؟,3,3,تخم گذاشتن,استفاده از دو پای عقب برای راه رفتن,توانایی پرواز,پاهای پنجه‌دار,True
191,دندانهای تریسراتوپس می‌توانست نه تنها برگ‌ها بلکه حتی شاخه‌ها و ربشه‌های بسیار سخت را نیز خرد کند. برخی دانشمندان فکر می‌کنند که تریسراتوپس از سرخس نخلی می‌خوردند که نوعی از گیاهان رایج در کرتاسه به شمار می‌رود. این گیاهان مانند یک درخت نخل کوچک با تاجی از برگهای تیز وبران به نظر می رسند. تریسراتوپس احتمالاً می‌توانسته از منقار قوی خود برای کندن برگ‌ها قبل از خوردن تنه درخت استفاده کند. دانشمندان دیگر معتقدند که این گیاهان بسیار سمی هستند، بنابراین بعید به نظر می رسد که هیچ دایناسوری آنها را خورده باشد، با این حال امروزه تنبل و حیوانات دیگر مانند طوطی (از فرزندان دایناسورها) می توانند برگ یا میوه سمی بخورند.,با توجه به متن، تریسراتوپس احتمالاً کدام قسمت از گیاه سرخس نخل را می‌خورد؟,2,2,برگ‌های تیز,تنه,ریشه,میوه,True
192,دندانهای تریسراتوپس می‌توانست نه تنها برگ‌ها بلکه حتی شاخه‌ها و ربشه‌های بسیار سخت را نیز خرد کند. برخی دانشمندان فکر می‌کنند که تریسراتوپس از سرخس نخلی می‌خوردند که نوعی از گیاهان رایج در کرتاسه به شمار می‌رود. این گیاهان مانند یک درخت نخل کوچک با تاجی از برگهای تیز وبران به نظر می رسند. تریسراتوپس احتمالاً می‌توانسته از منقار قوی خود برای کندن برگ‌ها قبل از خوردن تنه درخت استفاده کند. دانشمندان دیگر معتقدند که این گیاهان بسیار سمی هستند، بنابراین بعید به نظر می رسد که هیچ دایناسوری آنها را خورده باشد، با این حال امروزه تنبل و حیوانات دیگر مانند طوطی (از فرزندان دایناسورها) می توانند برگ یا میوه سمی بخورند.,با توجه به متن تریسراتوپس احتمالاً کدام یک از موارد زیر را می‌خورد؟ ,2,2,تنبل,گیاهی دارای شاخه‌های سخت,طوطی,گیاهی دارای میوه سمی,True
193,تیم ملی فوتبال ایتالیا به همراه تیم ملی فوتبال آلمان دومین تیم موفق جهان است و قهرمان جام‌جهانی فوتبال در 2006 شد. ورزش‌های رایج شامل فوتبال، بسکتبال، والیبال، واترپلو، شمشیربازی، راگبی، دوچرخه سواری، ‌هاکی روی یخ،‌ رولر هاکی و مسابقات اتومبیلرانی F1 است. ورزش‌های زمستانی بالاترین محبوبیت را در مناطق شمالی دارد، و ایتالیایی‌ها در مسابقات بین‌المللی و رویدادهای المپیک به رقابت می‌پردازند.,با توجه به متن، کدام یک از ورزش‌های زیر در شمالی‌ترین مناطق ایتالیا احتمالاً محبوبیت زیادی دارد؟,3,3,فوتبال,والیبال,اسنوبرد,مسابقه اتومبیل‌رانی F1,True
194,تیم ملی فوتبال ایتالیا به همراه تیم ملی فوتبال آلمان دومین تیم موفق جهان است و قهرمان جام‌جهانی فوتبال در 2006 شد. ورزش‌های رایج شامل فوتبال، بسکتبال، والیبال، واترپلو، شمشیربازی، راگبی، دوچرخه سواری، ‌هاکی روی یخ،‌ رولر هاکی و مسابقات اتومبیلرانی F1 است. ورزش‌های زمستانی بالاترین محبوبیت را در مناطق شمالی دارد، و ایتالیایی‌ها در مسابقات بین‌المللی و رویدادهای المپیک به رقابت می‌پردازند.,با توجه به متن، کدام یک از ورزش‌های زیر موفق به کسب عنوان قهرمانی جهان برای ایتالیا شد؟,1,1,فوتبال,واترپلو,بسکتبال,دوچرخه‌سواری,True
195,لوکزامبورگ تاریخچه کهنی دارد اما استقلال آن به سال 1839 برمی‌گردد. بخش‌های امروزی بلژیک بخشی از لوکزامبورگ قدیم بوده، اما پس از انقلاب بلژیک در دهه 1830، به بلژیک تبدیل شد. لوکزامبورگ همواره سعی داشته تا یک کشور بیطرف باقی بماند اما هم در جنگ جهانی اول و هم در جنگ جهانی دوم تحت اشغال آلمان بود. در سال 1957، لوگزامبورگ عضو بنیانگذار سازمانی شد که امروزه با عنوان اتحادیه اروپا شناخته می‌شود.,پس از چه رویدادی بخش‌های خاصی از لوکزامبورگ به بلژیک پیوست؟,2,2,جنگ جهانی اول,انقلاب بلژیک,جنگ جهانی دوم,تأسیس اتحادیه اروپا,True
196,لوکزامبورگ تاریخچه کهنی دارد اما استقلال آن به سال 1839 برمی‌گردد. بخش‌های امروزی بلژیک بخشی از لوکزامبورگ قدیم بوده، اما پس از انقلاب بلژیک در دهه 1830، به بلژیک تبدیل شد. لوکزامبورگ همواره سعی داشته تا یک کشور بیطرف باقی بماند اما هم در جنگ جهانی اول و هم در جنگ جهانی دوم تحت اشغال آلمان بود. در سال 1957، لوگزامبورگ عضو بنیانگذار سازمانی شد که امروزه با عنوان اتحادیه اروپا شناخته می‌شود.,کدام یک از موارد زیر بر بیطرفی لوکزامبورگ تأثیر گذاشت؟,1,1,اشغال توسط آلمان,پیوستن به اتحادیه اروپا,انقلاب بلژیک,تبدیل شدن به کشوری مستقل,True
197,"قسمت اروپایی ترکیه (تراکیه شرقی یا روملی در شبه‌جزیره بالکان) 3% از کشور را تشکیل می‌دهد. قلمرو ترکیه بیش از 1,600 کیلومتر (1,000 مایل) از جهت طول و 800 کیلومتر (500 مایل) از جهت عرض ادامه یافته است، ضمن اینکه شکل کلی آن مستطیلی است. مساحت ترکیه، شامل دریاچه ها، 783562 کیلومتر مربع (300948 مایل مربع) را اشغال می کند، از این مقدار، 755688 کیلومتر مربع (291773 مایل مربع) در جنوب غربی آسیا و 23764 کیلومتر مربع (9174 مایل مربع) در اروپا قرار دارد. مساحت ترکیه از لحاظ بزرگی در جهان 37 ام است، و تقریباً اندازه مجموع مساحت فرانسه متروپل و انگلستان است. ترکیه از سه طرف توسط دریا احاطه شده است: از غرب با دریای اژه، از شمال با دریای سیاه و از جنوب با دریای مدیترانه.",چند کیلومتر مربع از کل مساحت ترکیه در اروپا است؟,4,4,9174,755688,1600,23764,True
198,"قسمت اروپایی ترکیه (تراکیه شرقی یا روملی در شبه‌جزیره بالکان) 3% از کشور را تشکیل می‌دهد. قلمرو ترکیه بیش از 1,600 کیلومتر (1,000 مایل) از جهت طول و 800 کیلومتر (500 مایل) از جهت عرض ادامه یافته است، ضمن اینکه شکل کلی آن مستطیلی است. مساحت ترکیه، شامل دریاچه ها، 783562 کیلومتر مربع (300948 مایل مربع) را اشغال می کند، از این مقدار، 755688 کیلومتر مربع (291773 مایل مربع) در جنوب غربی آسیا و 23764 کیلومتر مربع (9174 مایل مربع) در اروپا قرار دارد. مساحت ترکیه از لحاظ بزرگی در جهان 37 ام است، و تقریباً اندازه مجموع مساحت فرانسه متروپل و انگلستان است. ترکیه از سه طرف توسط دریا احاطه شده است: از غرب با دریای اژه، از شمال با دریای سیاه و از جنوب با دریای مدیترانه.",با توجه به متن، طول ترکیه حدود چند مایل است؟,4,1,1600,9174,500,1000,False
199,جمعیت شهر واتیکان حدود 800 نفر است. کوچکترین کشور مستقل در جهان است و نیز کمترین جمعیت در بین کشورها را دارد. شهر واتیکان از زبان ایتالیایی در حوزه قانون‌گذاری و ارتباطات اداری استفاده می‌کند. ایتالیایی همچنین یک زبان روزمره است که توسط اکثر کسانی که در این ایالت کار می کنند استفده می‌شود در حالی که در مراسم مذهبی اغلب از زبان لاتین استفاده می شود. همه شهروندان شهر واتیکان، کاتولیک رومی هستند.,از زبان لاتین در شهر واتیکان برای چه کاری استفاده می‌شود؟,1,1,مجالس مذهبی,ارتباطات روزمره,قانون‌گذاری,ارتباطات اداری,True
200,جمعیت شهر واتیکان حدود 800 نفر است. کوچکترین کشور مستقل در جهان است و نیز کمترین جمعیت در بین کشورها را دارد. شهر واتیکان از زبان ایتالیایی در حوزه قانون‌گذاری و ارتباطات اداری استفاده می‌کند. ایتالیایی همچنین یک زبان روزمره است که توسط اکثر کسانی که در این ایالت کار می کنند استفده می‌شود در حالی که در مراسم مذهبی اغلب از زبان لاتین استفاده می شود. همه شهروندان شهر واتیکان، کاتولیک رومی هستند.,در شهر واتیکان، از زبان ایتالیایی برای چه کاری استفاده نمی‌شود؟,3,3,قانون‌گذاری,ارتباطات اداری,مجالس مذهبی,ارتباطات روزمره,True
201,امروزه از رایانه‌ها برای دستکاری تصاویر و فیلم‌ها استفاده می‌شود. امکان ساخت انیمیشن‌های پیشرفته با رایانه‌ها وجود دارد، و روز به روز از این نوع انیمیشن در تلویزیون و فیلم‌ها بیشتر استفاده می‌شود. آهنگ‌ها را اغلب با رایانه‌های پیشرفته ضبط می‌کنند و صداها را پردازش و با هم تلفیق می‌کنند.,با توجه به متن، کدام یک از موارد زیر از تلفیق صدا در رایانه‌های پیچیده بهره می‌برد؟,1,1,موسیقی,انیمیشن,تصاویر,ساخت,True
202,تقریباً در هر خانه ای در شهرهای هاراپا و موهنجو-دارو توالت مجهز به فلاش تانک که به یک سیستم فاضلاب پیشرفته متصل است، وجود دارد. بقایای سیستم فاضلاب در خانه‌های شهرهای مینوسی‌ها و سانتورینی در یونان یافت شده است. در مصر باستان، ایران و چین نیز توالت وجود داشت. در تمدن روم، توالت‌ها گاهی بخشی از حمام‌های عمومی بودند و آنجا مردها و زن‌ها به‌صورت گروهی و مختلط حضور داشتند.,با توجه به متن، اکثر خانه‌ها در کدام منطقه دارای توالت‌های مجهز به فلاش تانک بودند؟,1,1,موهنجو-دارو,ایران,سانتورینی,چین,True
203,تقریباً در هر خانه ای در شهرهای هاراپا و موهنجو-دارو توالت مجهز به فلاش تانک که به یک سیستم فاضلاب پیشرفته متصل است، وجود دارد. بقایای سیستم فاضلاب در خانه‌های شهرهای مینوسی‌ها و سانتورینی در یونان یافت شده است. در مصر باستان، ایران و چین نیز توالت وجود داشت. در تمدن روم، توالت‌ها گاهی بخشی از حمام‌های عمومی بودند و آنجا مردها و زن‌ها به‌صورت گروهی و مختلط حضور داشتند.,سیستم‌های فاضلاب پیشرفته در کدام یک از مناطق زیر یافت شد؟,1,2,هاراپا,سانتورینی,مصر ,چین,False
204,تیغه بکاررفته در اسکیت‌های مدرن روی یخ از یک لبه جفت برخوردار است که بین آنها تورفتگی وجود دارد. وجود دو لبه باعث می‌شود چسبندگی بهتری بر روی یخ داشته باشد، حتی زمانی که کج شود. از آنجا که ته تیغه کمی خمیده است، با خم شدن تیغه به این طرف و آن طرف، لبه ای که با یخ در تماس است نیز منحنی می‌شود. این کار باعث گردش اسکیت‌باز می‌شود. اگر اسکیت به راست کج شود، اسکیت‌باز هم به راست گردش می‌کند، و اگر به چپ کج شود، اسکیت‌باز به چپ گردش می‌کند.,کدام یک از موارد زیر باعث گردش اسکیت باز می‌شود؟,1,1,خمیدگی اندک کف تیغه اسکیت,لبه جفت روی تیغه اسکیت,سطح مهارت کلی اسکیت‌باز,کیفیت یخ,True
205,تیغه بکاررفته در اسکیت‌های مدرن روی یخ از یک لبه جفت برخوردار است که بین آنها تورفتگی وجود دارد. وجود دو لبه باعث می‌شود چسبندگی بهتری بر روی یخ داشته باشد، حتی زمانی که کج شود. از آنجا که ته تیغه کمی خمیده است، با خم شدن تیغه به این طرف و آن طرف، لبه ای که با یخ در تماس است نیز منحنی می‌شود. این کار باعث گردش اسکیت‌باز می‌شود. اگر اسکیت به راست کج شود، اسکیت‌باز هم به راست گردش می‌کند، و اگر به چپ کج شود، اسکیت‌باز به چپ گردش می‌کند.,با توجه به متن، کدام مورد زیر تورفتگی روی تیغه اسکیت یخی مدرن را به طور دقیق توصیف می‌کند؟,3,3,لبه جفت,انحنا,تورفتگی,کجی,True
206,برای بازگشت به سطح انرژی قبلی خود، باید از انرژی اضافی که از نور دریافت کرده‌اند خلاص شوند. آنها این کار را با ساطع کردن ریزذره‌ای از نور به نام «فوتون» انجام می‌دهند. دانشمندان به این فرآیند «گسیل القایی تابش» می‌گویند زیرا نور درخشان باعث القای اتم‌ها می‌شود و درنتیجه به تابش فوتون نور منجر می‌گردد؛ و نور هم نوعی تابش است. تصویر بعدی اتم‌های ساطع کننده فوتون را نشان می دهد. البته، در واقعیت فوتون‌ها بسیار کوچکتر از عکسهای موجود در تصویر هستند. فوتون‌ها حتی از ذرات تشکیل‌دهنده اتم‌ها هم کوچکتر هستند!,با توجه به متن، چه فرآیندی به اتم‌ها اجازه می دهد تا انرژی اضافی حاصل از نور را دفع کنند؟,4,4,تابش ,گسیل القایی فوتون‌ها,فوتون,نشر القایی تابش,True
207,برای بازگشت به سطح انرژی قبلی خود، باید از انرژی اضافی که از نور دریافت کرده‌اند خلاص شوند. آنها این کار را با ساطع کردن ریزذره‌ای از نور به نام «فوتون» انجام می‌دهند. دانشمندان به این فرآیند «گسیل القایی تابش» می‌گویند زیرا نور درخشان باعث القای اتم‌ها می‌شود و درنتیجه به تابش فوتون نور منجر می‌گردد؛ و نور هم نوعی تابش است. تصویر بعدی اتم‌های ساطع کننده فوتون را نشان می دهد. البته، در واقعیت فوتون‌ها بسیار کوچکتر از عکسهای موجود در تصویر هستند. فوتون‌ها حتی از ذرات تشکیل‌دهنده اتم‌ها هم کوچکتر هستند!,چه چیزی موجب می‌شود اتم فوتون ساطع کند؟,2,2,نشر انرژی اضافی,تحریک ناشی از نور شدید,سطوح انرژی ناپایدار,واکنش نامطلوب به تشعشع,True
208,پس از صدها ساعت کار، رشته لامپ در نهایت می‌سوزد و لامپ دیگر کار نمی‌کند. سپس حباب لامپ باید تعویض گردد. هنگام تعویض حباب لامپ باید مراقب بود. ابتدا،‌ کلید متصل به لامپ باید خاموش گردد یا سیم آن قطع گردد. دلیلش این است که الکتریسیته‌ای که به داخل سوکت در محل قرارگیری قسمت فلزی حباب روانه می‌شود می‌تواند شوک الکتریکی شدیدی به شما بدهد البته اگر به داخل سوکت یا پایه فلزی حباب در حالی که بخشی از آن داخل سوکت است دست بزنید.,با توجه به متن، کدام مورد در نهایت سبب از کار افتادن حباب لامپ می‌شود؟,3,3,خاموش نشدن صحیح اتصالات لامپ,قرارگیری پایه فلزی حباب به طور ناقص در سوکت,سوختن رشته‌های داخل لامپ,کاهش یافتن جریان الکتریسیته به داخل سوکت,True
209,پس از صدها ساعت کار، رشته لامپ در نهایت می‌سوزد و لامپ دیگر کار نمی‌کند. سپس حباب لامپ باید تعویض گردد. هنگام تعویض حباب لامپ باید مراقب بود. ابتدا،‌ کلید متصل به لامپ باید خاموش گردد یا سیم آن قطع گردد. دلیلش این است که الکتریسیته‌ای که به داخل سوکت در محل قرارگیری قسمت فلزی حباب روانه می‌شود می‌تواند شوک الکتریکی شدیدی به شما بدهد البته اگر به داخل سوکت یا پایه فلزی حباب در حالی که بخشی از آن داخل سوکت است دست بزنید.,هنگام تعویض لامپ، لمس کدام یک از موارد زیر می‌تواند خطرناک باشد؟,3,3,رشته,کلید لامپ,پایه لامپ,سیم ,True
210,بمب شکافت هسته‌ای بر این قاعده استوار است که سرهم کردن یک هسته با تعداد زیادی پروتون و نوترون انرژی می‌برد. به‌نوعی مانند غلتاندن یک گاری سنگین به بالای تپه است. تقسیم شدن مجدد هسته اتم و سپس آزادسازی مقداری از آن انرژی. بعضی اتم‌ها هسته‌های ناپایداری دارند یعنی بدون اشاره یا با اشاره‌ای کوچک تمایل به فروپاشی دارند.,با توجه به متن، وقتی هسته شکافته می‌شود چه اتفاقی می‌افتد؟,2,2,پروتون به دست می‌آورد,انرژی آزاد می‌شود ,اتم‌ها ناپایدار می‌شوند ,نوترون‌ها از بین می‌روند,True
211,وقتی با کسی تماس می‌گیرید که هزاران مایل با شما فاصله دارد، دارید از ماهواره استفاده می‌کنید. ماهواره در فضا تماس را دریافت می‌کند و آن را تقریباً به‌صورت آنی به پایین منعکس می‌کند. این ماهواره توسط یک موشک به فضا فرستاده شد. دانشمندان از تلسکوپ‌ها در فضا استفاده می‌کنند زیرا جو زمین برخی از نورها و تصاویر را تحریف می‌کند. برای قرار دادن یک ماهواره یا تلسکوپ در فضا نیاز به موشکی بزرگ با ارتفاع بیش از 100 پا می‌باشد.,کدام مورد نشانگر انعکاس تماس‌ از راه دور به پایین در زمین است؟,2,2,تلسکوپ‌ها,ماهواره‌ها ,چراغ‌ها,موشک‌ها,True
212,وقتی با کسی تماس می‌گیرید که هزاران مایل با شما فاصله دارد، دارید از ماهواره استفاده می‌کنید. ماهواره در فضا تماس را دریافت می‌کند و آن را تقریباً به‌صورت آنی به پایین منعکس می‌کند. این ماهواره توسط یک موشک به فضا فرستاده شد. دانشمندان از تلسکوپ‌ها در فضا استفاده می‌کنند زیرا جو زمین برخی از نورها و تصاویر را تحریف می‌کند. برای قرار دادن یک ماهواره یا تلسکوپ در فضا نیاز به موشکی بزرگ با ارتفاع بیش از 100 پا می‌باشد.,از کدام مورد برای فرستادن تلسکوپ به فضا استفاده می‌شود؟,2,2,پرتوی نور,موشک‌ها,جو زمین,ماهواره‌ها در ارتفاع بیش از 100 پا,True
213,زمان هر جا هستیم وجود دارد و بر هر کاری که انجام می‌دهیم تأثیر می‌گذارد ولی فهم آن مشکل است. همانا زمان هزاران سال است که توسط دانشمندان دینی، فلسفی و علمی مورد مطالعه قرار گرفته است. ما زمان را به عنوان مجموعه‌ای از رویدادهای سپری شده از آینده به حال و گذشته تجربه می‌کنیم. زمان را می‌توان نحوه مقایسه مدت‌زمان (طول) رویدادها نیز دانست. خودتان می‌توانید با مشاهده تکرار یک رویداد دوره‌ای، گذشت زمان را مشخص کنید. یک رویداد دوره‌ای اتفاقی است که مرتب هربار تکرار می‌شود.,در رابطه با رویدادی چرخه‌ای،‌ برای ردیابی گذر زمان باید به چه مواردی توجه کرد؟,2,2,طول مدت,تکرار ,اثر,دشواری,True
214,زمان هر جا هستیم وجود دارد و بر هر کاری که انجام می‌دهیم تأثیر می‌گذارد ولی فهم آن مشکل است. همانا زمان هزاران سال است که توسط دانشمندان دینی، فلسفی و علمی مورد مطالعه قرار گرفته است. ما زمان را به عنوان مجموعه‌ای از رویدادهای سپری شده از آینده به حال و گذشته تجربه می‌کنیم. زمان را می‌توان نحوه مقایسه مدت‌زمان (طول) رویدادها نیز دانست. خودتان می‌توانید با مشاهده تکرار یک رویداد دوره‌ای، گذشت زمان را مشخص کنید. یک رویداد دوره‌ای اتفاقی است که مرتب هربار تکرار می‌شود.,با توجه به متن، زمان برای مقایسه چه جنبه‌ای از یک رویداد استفاده می‌شود؟,1,1,طول,تکرار ,تجربه,اثر,True
215,در قدیم اینطور بود که وارث تاج و تخت درست پس از اتمام تحصیل به سربازی می‌رفت. با این حال، چارلز به دانشگاه در کالج ترینیتی در کمبریج رفت و در آنجا به تحصیل مردم‌شناسی و باستان‌شناسی مشغول شد، و بعدها به تاریخ پرداخت و مدرک 2:2 (مدرک با درجه دوم پایین) را کسب کرد. «چارلز» اولین عضو از خانواده سلطنتی بریتانیا بود که به او مدرک تحصیلی داده شده است.,با توجه به متن، کدام مورد برای وارث تاج و تخت عادی در نظر گرفته می‌شود؟,2,2,دریافت مدرک 2:2,رها کردن دانشگاه برای رفتن به سربازی,مطالعه تاریخ,تحصیل در دانشگاه پیش از رفتن به سربازی,True
216,در قدیم اینطور بود که وارث تاج و تخت درست پس از اتمام تحصیل به سربازی می‌رفت. با این حال، چارلز به دانشگاه در کالج ترینیتی در کمبریج رفت و در آنجا به تحصیل مردم‌شناسی و باستان‌شناسی مشغول شد، و بعدها به تاریخ پرداخت و مدرک 2:2 (مدرک با درجه دوم پایین) را کسب کرد. «چارلز» اولین عضو از خانواده سلطنتی بریتانیا بود که به او مدرک تحصیلی داده شده است.,بر اساس اطلاعات متن، چارلز در انجام چه کاری اولین نفر بود؟,3,3,رفتن به سربازی پیش از اتمام مدرسه,مطالعه باستان‌شناسی,دریافت مدرک,تحصیل در کالج ترینیتی,True
217,انگلیس پس از تسلط مجدد بر دانلاو، مدت زمان طولانی شاهد صلح بود. با این حال، اتِلرِد در سال 991 با ناوگانی از وایکینگ‌ها مواجه شد که از هر ناوگان دیگری پس از گوترومِ یک قرن قبل عظیم‌تر بود. این ناوگان توسط اولاف تریگواسون نروژی با رویای بازپس گیری کشور خود از سلطه دانمارک هدایت می شد. پس از شکست نظامی اولیه، «اذلرد» توانست با شرایط «اولاف» موافقت کند؛ اولاف به نروژ بازگشت تا تلاش کند پادشاهی‌اش را با موفقیت نسبی بدست آورد.,ناوگان تریگواسون از کدام کشور بود؟,4,4,انگلیس,دانمارک,آلمان,نروژ,True
218,در حدود قرن 15، شمال استونی به شدت تحت تأثیر فرهنگ آلمان قرار داشت. برخی از راهبان آلمانی می خواستند خدا را به مردم بومی نزدیک‌تر کنند، بنابراین آنها زبان تحت لفظی استونی را اختراع کردند. این کار بر اساس الفبای آلمانی بود و یک نویسه «Õ/õ» اضافه شد. با گذشت زمان، بسیاری از وام‌واژه‌های برگرفته از آلمانی تلفیق شدند. این رخداد شروع روشنگری بود.,آلمان از چه زمانی در تاریخ تأثیر فرهنگی شدیدی بر استونی گذاشت؟,3,2,حدود 200 سال قبل,حدود 400 سال قبل,حدود 600 سال قبل,حدود 800 سال قبل,False
219,در حدود قرن 15، شمال استونی به شدت تحت تأثیر فرهنگ آلمان قرار داشت. برخی از راهبان آلمانی می خواستند خدا را به مردم بومی نزدیک‌تر کنند، بنابراین آنها زبان تحت لفظی استونی را اختراع کردند. این کار بر اساس الفبای آلمانی بود و یک نویسه «Õ/õ» اضافه شد. با گذشت زمان، بسیاری از وام‌واژه‌های برگرفته از آلمانی تلفیق شدند. این رخداد شروع روشنگری بود.,زبان استونیایی تحت تأثیر چه چیزی بود؟,2,2,حرف Õ/õ,الفبای آلمانی,راهبان آلمانی,خدا,True
220,در مورد تعداد افرادی که به زبان هندی صحبت می‌کنند برآوردهای مختلفی وجود دارد. برآورد شده است که این زبان جایگاهی بین دوم تا چهارم را در زبان‌های پرکاربرد جهان دارد. تعداد متکلمان بومی بستگی به این دارد که گویش‌های خیلی نزدیک در شمارش محسوب شده باشند یا نه. تخمین تعداد سخنگویان بین 340 میلیون تا 500 میلیون متغیر است و تا 800 میلیون نفر می‌توانند این زبان را متوجه شوند. هندی و اردو در واژگان مشابه اما از نظر حروف الفبا متفاوت هستند؛ در مکالمه‌های روزمره، گویندگان هر دو زبان معمولاً می‌توانند یکدیگر را درک کنند.,با توجه به متن، تعداد متکلمان بومی زبان هندی بر حسب چه عاملی تغییر می‌کند؟,1,1,اینکه آیا گویش‌های خیلی نزدیک هندی در شمارش محسوب می‌شوند یا خیر,اینکه آیا گویندگان اردو در شمارش محسوب می‌شوند یا خیر,آیا افرادی که می‌توانند این زبان را درک کنند، در شمارش محسوب می‌شوند یا خیر,اینکه آیا افرادی که می‌توانند این زبان را بخوانند، در شمارش محسوب می‌شوند یا خیر,True
221,در مورد تعداد افرادی که به زبان هندی صحبت می‌کنند برآوردهای مختلفی وجود دارد. برآورد شده است که این زبان جایگاهی بین دوم تا چهارم را در زبان‌های پرکاربرد جهان دارد. تعداد متکلمان بومی بستگی به این دارد که گویش‌های خیلی نزدیک در شمارش محسوب شده باشند یا نه. تخمین تعداد سخنگویان بین 340 میلیون تا 500 میلیون متغیر است و تا 800 میلیون نفر می‌توانند این زبان را متوجه شوند. هندی و اردو در واژگان مشابه اما از نظر حروف الفبا متفاوت هستند؛ در مکالمه‌های روزمره، گویندگان هر دو زبان معمولاً می‌توانند یکدیگر را درک کنند.,کدام مورد عبارت صحیحی درباره زبان‌های هندی و اردو است؟,2,2,معمولاً بین متکلمان هر دو زبان گسستگی وجود دارد,از نظر متنی با یکدیگر تفاوت دارند,در متن و واژگان مشابه یکدیگر هستند,در واژگان با یکدیگر تفاوت دارند,True
222,هانگول تنها الفبای ابداعی هدفمند با کاربرد روزانه جاافتاده است. این الفبا را سال 1444 طی سلطنت پادشاه سجونگ (1418 - 1450) ابداع کردند. پادشاه «سجونگ» چهارمین پادشاه از سلسله چوسان و یکی از محترم‌ترین پادشاه‌ها بوده است. او در اصل الفبای Hangeul را به Hunmin Jeogeum نامگذاری کرده است که به معنای «صداهای صحیح برای آموزش مردم» است.,کدام مورد حقیقتی صحیح درباره الفبای هانگول نیست؟,1,2,در ابتدای سلطنت پادشاه سجونگ اختراع شد,نام اصلی این الفبا Hunan Jeongeum بوده است,توسط پادشاه چهارم سلسله چوسان اختراع شد,ابداع آن هدفمند بود,False
223,هانگول تنها الفبای ابداعی هدفمند با کاربرد روزانه جاافتاده است. این الفبا را سال 1444 طی سلطنت پادشاه سجونگ (1418 - 1450) ابداع کردند. پادشاه «سجونگ» چهارمین پادشاه از سلسله چوسان و یکی از محترم‌ترین پادشاه‌ها بوده است. او در اصل الفبای Hangeul را به Hunmin Jeogeum نامگذاری کرده است که به معنای «صداهای صحیح برای آموزش مردم» است.,الفبای Hunmin Jeongeum در نهایت به چه چیزی تغییر یافت؟,2,2,سجونگ,هانگول,چوسان ,Jeongeum,True
224,نظریه‌های بسیاری درباره نحوه بوجود آمدن سانسکریت وجود دارد. یکی از آنها درباره مهاجرت یک آریایی از غرب به هندوستان است که زبانش را به آنجا آورد. سانسکریت یک زبان باستانی است و قابل مقایسه است با زبان لاتین که در اروپا صحبت می شود. اولین کتاب شناخته شده جهان به زبان سانسکریت نوشته شده است. پس از تدوین اوپانیشاد، سانسکریت به‌دلیل سلسله مراتبش محو شد. سانسکریت زبانی بسیار پیچیده و غنی است که به‌عنوان منشاء بسیاری از زبان‌های هندی مدرن عمل کرده است، درست مثل لاتین که منشاء زبان‌های اروپایی مثل فرانسه و اسپانیایی است.,با توجه به متن، کدام زبان‌ها تحت تأثیر سانسکریت قرار گرفته‌اند؟,4,4,زبان‌های لاتین,زبان‌های اروپایی,زبان‌های باستان,زبان‌های هندی,True
