,Passage,Question,Original Answer,Predicted Answer,Option 1,Option 2,Option 3,Option 4,is_correct
203,تقریباً در هر خانه ای در شهرهای هاراپا و موهنجو-دارو توالت مجهز به فلاش تانک که به یک سیستم فاضلاب پیشرفته متصل است، وجود دارد. بقایای سیستم فاضلاب در خانه‌های شهرهای مینوسی‌ها و سانتورینی در یونان یافت شده است. در مصر باستان، ایران و چین نیز توالت وجود داشت. در تمدن روم، توالت‌ها گاهی بخشی از حمام‌های عمومی بودند و آنجا مردها و زن‌ها به‌صورت گروهی و مختلط حضور داشتند.,سیستم‌های فاضلاب پیشرفته در کدام یک از مناطق زیر یافت شد؟,1,2,هاراپا,سانتورینی,مصر ,چین,False
218,در حدود قرن 15، شمال استونی به شدت تحت تأثیر فرهنگ آلمان قرار داشت. برخی از راهبان آلمانی می خواستند خدا را به مردم بومی نزدیک‌تر کنند، بنابراین آنها زبان تحت لفظی استونی را اختراع کردند. این کار بر اساس الفبای آلمانی بود و یک نویسه «Õ/õ» اضافه شد. با گذشت زمان، بسیاری از وام‌واژه‌های برگرفته از آلمانی تلفیق شدند. این رخداد شروع روشنگری بود.,آلمان از چه زمانی در تاریخ تأثیر فرهنگی شدیدی بر استونی گذاشت؟,3,2,حدود 200 سال قبل,حدود 400 سال قبل,حدود 600 سال قبل,حدود 800 سال قبل,False
222,هانگول تنها الفبای ابداعی هدفمند با کاربرد روزانه جاافتاده است. این الفبا را سال 1444 طی سلطنت پادشاه سجونگ (1418 - 1450) ابداع کردند. پادشاه «سجونگ» چهارمین پادشاه از سلسله چوسان و یکی از محترم‌ترین پادشاه‌ها بوده است. او در اصل الفبای Hangeul را به Hunmin Jeogeum نامگذاری کرده است که به معنای «صداهای صحیح برای آموزش مردم» است.,کدام مورد حقیقتی صحیح درباره الفبای هانگول نیست؟,1,2,در ابتدای سلطنت پادشاه سجونگ اختراع شد,نام اصلی این الفبا Hunan Jeongeum بوده است,توسط پادشاه چهارم سلسله چوسان اختراع شد,ابداع آن هدفمند بود,False
226,نیروی جاذبه ایو چطور روی من تاثیر خواهد داشت؟ اگر روی سطح ایو بایستید، وزن کمتری از وزن خود در زمین خواهید داشت. شخصی که روی زمین 200 پوند (90 کیلوگرم) وزن دارد، حدود 36 پوند (16 کیلوگرم) در lo وزن دارد. بنابراین گرانش کمتر شما را به سمت خود می‌کشد.,با توجه به متن، کدام مورد در رابطه با نیروی جاذبه روی ایو صحیح است؟,4,1,نیروی جاذبه زمین کمتر از جاذبه آیو شما را به سمت خود می‌کشد,نیروی جاذبه ایو بیشتر به سمت خود می‌کشد، به همین دلیل وزن کمتری خواهید داشت,نیروی جاذبه ایو بیشتر به سمت خود می‌کشد، به همین دلیل وزن بیشتری خواهید داشت,نیروی جاذبه زمین بیشتر از جاذبه ایو شما را به سمت خود می‌کشد,False
242,در خلال جنگ انقلابی، نخست سیزده ایالت تحت اصول کنفدراسیون یک دولت مرکزی ضعیف را تشکیل دادند - که کنگره تنها مؤلفه آن بود. کنگره فاقد هرگونه قدرت برای تحمیل مالیات بود، چون هیچ مجری یا دادگستری ملی‌ای وجود نداشت، و برای اجرای همه اعمال خود به مقامات دولتی که غالباً همکاری نمی‌کردند متکی بود. همچنین هیچ مرجعی برای لغو قوانین مالیاتی و تعرفه ها بین کشورها نداشت. پیش از اصلاح این بندها لازم بود تا موافقت متفق‌القول همه کشورها کسب شود و کشورها نیز باید نظر مثبت دولت مرکزی‌شان را حتی در صورت غایب بودن نماینده بدست آورند.,با توجه به متن، کدام یک از موارد زیر در هنگام تلاش برای اعمال قوانین خاص مورد توجه برای سیزده ایالت نبود؟,1,2,نظارت شدید مقامات دولتی,فقدان قدرت در کنگره,اصلاحاتی که مستلزم تأیید متفق‌القول بودند,عدم وجود مجری ملی,False
243,در خلال جنگ انقلابی، نخست سیزده ایالت تحت اصول کنفدراسیون یک دولت مرکزی ضعیف را تشکیل دادند - که کنگره تنها مؤلفه آن بود. کنگره فاقد هرگونه قدرت برای تحمیل مالیات بود، چون هیچ مجری یا دادگستری ملی‌ای وجود نداشت، و برای اجرای همه اعمال خود به مقامات دولتی که غالباً همکاری نمی‌کردند متکی بود. همچنین هیچ مرجعی برای لغو قوانین مالیاتی و تعرفه ها بین کشورها نداشت. پیش از اصلاح این بندها لازم بود تا موافقت متفق‌القول همه کشورها کسب شود و کشورها نیز باید نظر مثبت دولت مرکزی‌شان را حتی در صورت غایب بودن نماینده بدست آورند.,با توجه به متن، کدام عبارت وضعیت حکومت مرکزی در دوران جنگ انقلابی را به درستی نشان می‌دهد؟,3,4,مالیات‌ها توسط کنگره و مقامات ایالتی تحمیل می‌شد ,اصلاحات در قوانین متکی به قدرت کنگره بود,نمایندگان ایالتی حضور نداشتند,دولت مرکزی از دو جزء اصلی تشکیل شده بود,False
247,گرچه ساخت اهرام سنگی تا پایان پادشاهی کهن ادامه داشت، هرگز اهرامی نبود که از لحاظ بزرگی و برتری فنی در ساخت از اهرام ثلاثه پیشی بگیرد. پادشاهی جدید مصریان باستان از دیدن بناهای تاریخی پیشنیانشان شگفت زده شد، بناهایی که قدمتی بیش از هزار سال داشتند.,طبق این متن، پادشاهی جدید مصریان احتمالاً از کدام ویژگی اهرام جیزه شگفت زده نمی‌شوند؟,2,3,سن آنها,استفاده از سنگ‌ها,اندازه آنها,ساخت آنها,False
248,سالانه تقریباً 1.5 میلیون علف‌خوار حدود اکتبر از سمت تپه‌های شمالی بخاطر باران با گذر از رودخانه مارا به سمت دشت‌های جنوبی مسافرت می‌کنند. پس از باران در حدود آوریل، از غرب دوباره به شمال برگشت و دوباره از رودخانه مارا عبور کرد. منطقه سرنگتی شامل پارک ملی سرنگتی، منطقه حفاظت شده نگورونگورو و منطقه حفاظت شده جانوران شکاری ماسوا در تانزانیا و منطقه حفاظت شده ملی مائایی مارا در کنیا می‌شود.,با توجه به متن، علف‌خواران به دنبال باران به کجا سفر می‌کنند؟,2,3,دشت‌های غربی,تپه‌های شمالی,دشت‌های جنوبی,تپه‌های غربی,False
252,اجازه دهید ابتدا درباره طرح‌های ایتالیا توضیح دهیم. ایتالیا در اصل «برادر کوچک» آلمان و ژاپن بود. اگرچه آنها تازه قبل از آغاز جنگ چهار کشتی جدید ساخته بودند، اما از ارتش ضعیف تر و نیروی دریایی ضعیف تری برخوردار بودند. اهداف اصلی ایتالیا کشورهای آفریقایی بودند. آنها برای بدست آوردن این کشورها لازم بود یک پایگاه اعزام نیرو داشته باشند تا نیروها بتوانند از راه دریای مدیترانه بروند و به آفریقا حمله کنند. به همین دلیل باید از شر پایگاه‌ها و کشتی‌های بریتانیا در مصر خلاص می‌شدند. کشتی‌های جنگی ایتالیا به‌جز آن اقدامات قرار نبود کار دیگری انجام دهند. اما در مورد ژاپن. ژاپن کشور جزیره‌ای درست مثل بریتانیا بود.,چه چیزی به عنوان مرحله ضروری در طرح ایتالیا برای تصرف کشورهای آفریقایی ذکر نشده است؟,2,3,خلاص شدن از شر کشتی‌ها در مصر,ساخت کشتی‌های بیشتر,ایجاد پایگاه اعزام نیرو,تخریب پایگاه‌های بریتانیا,False
259,تا هفدهم سپتامبر سال 1939، دفاع کشور لهستان درهم شکسته شد و تنها امیدی که وجود داشت عقب نشینی و سازماندهی مجدد در طول منطقه سرپل رومانی بود. اما این نقشه‌ها تقریباً یک شبه از کار افتاد، وقتی که بیش از 800 هزار سرباز از ارتش سرخ اتحاد جماهیر شوروی وارد شدند و پس از هجوم به نواحی شرقی لهستان جبهه‌های بلاروسی و اوکراینی را ساختند، و بدین ترتیب عهدنامه صلح ریگا، پیمان عدم تجاوز بین شوروی و لهستان، و سایر عهدنامه‌های بین‌المللی، هم دوجانبه و هم چند جانبه، نقض کردند.,کدام یک از موارد زیر توسط ارتش سرخ انجام نشد؟,3,2,ایجاد یک جبهه اوکراینی ,حمله به مناطق غربی,سازماندهی مجدد در امتداد سرپل,نقض معاهده,False
266,این جشن‌ها با برنامه ویژه‌ای از گروه «سیرک آفتاب» که شهرتشان جهانی بود آغاز می‌شد. یک گروه ینی‌چری و خوانندگان Fatih Erkoç و Müslüm Gürses توسط ارکستر سمفونیک ایالتی استانبول دنبال شد. سپس Whirling Dervishes به صحنه رفت. دیوا سزن آکسو ترکی با تنر آلساندرو سفینا ایتالیایی و خواننده یونانی هریس الکسیو برنامه اجرا کرد. برای حسن ختام، گروه رقص ترکی Fire of Anatolia نمایش «تروی» را اجرا کرد.,دومین اجرای آخر شب چه بود؟,1,3,سزن آکسو، آلساندرو سفینا، و هریس الکسیو,Fire of Anatolia,Whirling Dervishes,Fatih Erkoç و Müslüm Gürses,False
289,اخبار منتشر شده در رد لایک امروز اختصاص داشت به مراسم خاکسپاری جف ویس و سه نفر از هفت قربانی و اینکه دستگیری یک دانش‌آموز دیگر در ارتباط با تیراندازی در مدرسه در تاریخ 21 مارچ. مقامات به صورت نسبتا رسمی دستگیری امروز را تصدیق کردند. با این حال، منبعی مطلع از تجسس به روزنامه Star-Tribune مینیاپولیس گفته بود که لوییس جوردِین، پسر 16 ساله فلوید جوردِین، رئیس شورای شهر Red Lake Tribal، بوده است. در مقطع فعلی مشخص نیست چه اتهاماتی وارد خواهد شد یا چه سرنخ‌هایی مراجع را به آن پسر رسانده است، اما دادرسی‌های نوجوانان در دادگاه فدرال شروع شده است.,با توجه به متن، در حالی که اخباری مبنی بر دستگیری فردی دیگر منتشر می‌شد، مراسم تشییع جنازه چند قربانی برگزار می‌شد؟,4,2,یک,سه,نه,چهار,False
292,حدود 60 مورد گرمای بیش از حد آیپاد‌ها گزارش شده است که در مجموع منجر به ایجاد شش آتش سوزی و مصدومیت جزئی چهار نفر شده است. وزارت اقتصاد، تجارت و صنعت ژاپن (METI) گفت که از 27 مورد حادثه مربوط به این دستگاه‌ها اطلاع داشته است. هفته گذشته، METI اعلام کرد که اپل آنها را از 34 رویداد گرم‌شدن بیش‌ازحد، که این شرکت آن را «غیر جدی» نامیده، مطلع کرده است. وزارت در یک واکنش تأخیر اپل در گزارش‌دهی را «واقعاً تأسف برانگیز» خواند.,چند نفر در اثر حادثه‌های گرمای بیش از حد iPod مجروح شدند؟,1,4,4,27,6,34,False
300,پیتر کاستلو، خزانه دار استرالیایی و مردی که به احتمال زیاد به عنوان رهبر حزب لیبرال جانشین نخست وزیر جان هاوارد می‌شود، از صنعت انرژی هسته ای در استرالیا حمایت کرده است. آقای کاستلو گفت که وقتی تولید انرژی هسته ای از نظر اقتصادی مناسب شود، استرالیا استفاده از آن را باید دنبال کند. «اگر به صورت تجاری درآید، باید آن‌را داشته باشیم. آقای کاستلو گفت، هیچ اعتراض اصولی نسبت به انرژی هسته‌ای» وجود ندارد.,رهبر حزب لیبرال استرالیا کیست؟,2,1,پیتر کاستلو,جان هاوارد,جان کر,مالکولم فراسر,False
303,از آنجایی که فقط هجده مدال در روز وجود دارد، بسیاری از کشورها نتوانسته‌اند به سکوی قهرمانی دست یابند. از جمله این کشورها هلند است، چنان‌که آنا جاشمسن دیروز در کلاس زنان در اسکی مارپیچ سرعت نهم شد و فنلاند با کاتجا سارینن که در همان مسابقه دهم شد. میچل گورلی استرالیایی در رقابت‌های اسکی مارپیچ سرعت نشسته مردان به مقام یازدهم رسید. اولدریچ ژلینک، رقیب چک او در رقابت‌های اسکی مارپیچ سرعت نشسته مردان در مکان شانزدهم قرار گرفت. آرلی ولاسکز از مکزیک به مقام پانزدهم اسکی Super-G نشسته مردان رسید. آدام هال نیوزلندی به مقام نهم اسکی Super-G ایستاده رسید. ماسیج کرزل اسکی‌باز مرد لهستانی که معلولیت بینایی داشت بود و راهنمای او آنا اوگارزینسکا اسکی مارپیچ سرعت را در جایگاه سیزدهم به پایان رساندند. پارک سئورک جونگ از کره‌جنوبی مسابقات اسکی مارپیچ سرعت نشسته مردان را با مقام بیست و چهارمی به پایان رساند.,کدام کشور در مسابقات Super-G کلاس ایستاده زنان دهم شد؟,1,2,فنلاند,هلند,استرالیا,مکزیک,False
308,نیجریه پیش‌تر اعلام کرد قصد داشت در هفته منتهی به اجلاس، به منطقه آزاد تجاری قاره آفریقا (AfCFTA) ملحق شود. «آلبرت موچانگا»، کمیسیونر صنعت و تجارت اتحادیه آفریقا، اعلام کرد بنین قرار است ملحق شود. کمیسر گفت، «ما هنوز در مورد قوانین مبداء و امتیازات تعرفه‌ای توافق نکرده‌ایم، اما چارچوبی که در اختیار داریم برای شروع تجارت از 1 ژوئیه 2020 کافی است.»,کدام مورد توسط «آلبرت موچانگا» به عنوان موضوعی که هنوز نیاز به توافق داشت، ذکر نشده است؟,1,3,اینکه آیا بنین به AfCTA ملحق خواهد شد,تاریخی که تجارت می‌تواند شروع شود,قوانین مبداء,امتیازات تعرفه‌ای ,False
311,او در زمان اقامت در آتلانتا تحسین منتقدان را برانگیخت و به دلیل آموزش شهری نوآورانه شناخته شد. در سال 2009، عنوان «ناظر ملی سال» به او اختصاص یافت. در زمان اهدای جایزه، مدارس آتلانتا شاهد پیشرفت بزرگی در نمرات آزمون‌ها بودند. نه‌چندان بعد، آتلانتا ژورنال-کانستیتیوشن گزارشی منتشر کرد که نشان می‌داد آزمایش‌ها مشکلاتی دارند. این گزارش نشان می‌دهد که نمرات آزمون به طور غیرموجه سریع افزایش یافته است، و ادعا می‌شود مدرسه مشکلات داخلی را کشف کرده اما براساس یافته‌ها عمل نکرده است. شواهد بعد از آن حاکی از دستکاری مدارک آزمایشی توسط هال و 34 مقام آموزشی دیگر است که در 2013 محاکمه شده‌اند.,با توجه به متن، چه چیزی در گزارش آتلانتا ژورنال-کانستیتیوشن ذکر نشده است؟,1,3,بهبود غیرعادی نمرات آزمون,شواهدی مبنی بر دستکاری برگه‌های آزمون,برنده بهترین مدیر ملی سال 2013,پیشنهادهایی برای نوآوری آموزش شهری,False
315,یک پانسیون در مکه، شهر مقدس اسلام، حدود ساعت 10 امروز صبح به وقت محلی فرو ریخت. ساختمانی که شماری از زائرها در آن ساکن بودند و برای زیارت شهر مقدس در روز قبل از زیارت حج رسیده بودند. مهمانان هتل اغلب از شهروندان امارات متحده عربی بودند. آمار کشته‌ها حداقل 15 نفر است و انتظار می‌رود که افزایش یابد.,کدام جمله درباره مهمانان هاستل درست نیست؟,4,2,مهمانان برای زیارت در مکه بودند,برخی از مهمانان شهروندان محلی نبودند,مهمانان روز قبل زیارت حج آنجا بودند,اکثریت مهمانان از شهر مقدس بودند,False
317,این ماهواره‌ها که هر دو وزن‌شان بیش از 1000 پوند است و تقریباً با سرعت 17،500 مایل بر ساعت حرکت می‌کنند، 491 مایل بالاتر از سطح زمین با هم برخورد کردند. به گفته دانشمندان، انفجار ناشی از این برخورد بسیار گسترده بود. آنها هنوز در حال تعیین میزان بزرگی برخورد چگونگی تأثیرپذیری زمین از آن هستند. فرماندهی استراتژیک وزارت دفاع آمریكا در حال ردیابی مخروبه‌هاست. نتیجه تحلیل نقشه برداری بر روی یک وب سایت عمومی منتشر می‌شود.,با توجه به متن، چه اطلاعاتی درباره برخورد نامعلوم نیست؟,2,4,اندازه برخورد,موقعیت مکانی برخورد,اثر برخورد بر زمین,موقعیت مکانی مخروبه‌ها,False
330,اگرچه هنگام برخورد ماشین به خانه سه نفر در آنجا بودند، هیچ کدام صدمه ندیدند. با این حال، راننده دچار مصدومیت جدی از ناحیه سر شد. زمانیکه کارکنان خدمات اورژانس مشغول آزاد کردن راننده از آئودی TT قرمز بودند، جاده محل تصادف موقتاً بسته شد. او در ابتدا در بیمارستان جیمز پاژه در گریت یارموث بستری بود. او سپس به بیمارستان ادن بروک کمبریج منتقل شد.,چه اتفاقی برای راننده درگیر در تصادف نیفتاد؟,3,2,وی از ناحیه سر صدمه دید,او به هیچ یک از افراد داخل خانه آسیب نرساند,او از بیمارستانی در کمبریج به بیمارستانی در گریت یارموث منتقل شد,نیروهای اورژانس برای خارج کردن او از خودرویش کمک کردند,False
352,مقامات ایالت اوهایو می گویند، یک پزشک که در بیمارستان کودکان پیتزبورگ پنسیلوانیا کار می کرد، پس از اینکه در روز چهارشنبه جسد مادرش در صندوق عقب خودرویش یافت شد، به قتل متهم خواهد شد. دکتر مالار بالاسوبرامانیان، 29 ساله، در بلواش اوهایو، حومه‌ای واقع در 15 کیلومتری شمال سینسیناتی در کنار جاده یافت شد درحالیکه یک تیشرت و زیرپوش آبی به تن داشت و به نظر می‌رسید که کاملا تحت تاثیر دارو قرار دارد. او ماموران را به سمت اولدزموبیل اینتریگ سیاه خود که 500 فوت دورتر بود، هدایت کرد. جسد ساروجا بالاسوبرامانیان 53 ساله در آنجا قرار داشت که در پتوهای آغشته به خون پیچیده شده بود. به گفته پلیس ظاهراً جسد حدود یک روز در آنجا قرار داشته است.,نسبت دکتر مالار بالاسوبرامانیان با ساروجا بالاسوبرامانیان چه بود؟,2,3,خواهر,دختر,مادر,خاله یا عمه,False
355,این بزرگترین اکتساب مالکیت در تاریخچه eBay است. این شرکت امیدوار است که منابع سودآوری خود را متنوع کند و در حوزه‌هایی که اسکایپ دارای موقعیتی قدرتمند است، مانند چین، اروپای شرقی و برزیل، محبوبیت کسب کند.,eBay با این اکتساب مالکیت در پی چه چیزی است؟,2,1,تحکیم درآمد خود,گسترش تا قلمروهای جدید,افزایش محبوبیت خود,کسب رضایت سهامدارانش,False
356,وقتی درگیری متوقف شد و زخمی‌ها به بیمارستان انتقال داده شدند، حدود 40 زندانی باقیمانده دیگر در حیاط ماندند و از بازگشت به سلول‌هایشان خودداری کردند. مذاکره‌کنندگان سعی کردند اوضاع را مرتب کنند ولی درخواست‌های زندانیان واضح نبود. بین ساعت 10:00-11:00 بعد از ظهر به وقت MDT، آتشی توسط زندانیان در حیاط روشن شد. کمی بعد، افسرهای مجهز به تجهیزات ضد شورش وارد حیاط شدند و زندانی‌ها را با گاز اشک‌آور محدود کردند. خدمه گروه آتش‌نشانی و نجات سرانجام در ساعت 11:35 بعدازظهر آتش را خاموش کردند.,با توجه به متن، چه کسانی با زندانیانی که پس از درگیری در حیاط ماندند تعاملی نداشتند؟,4,1,مذاکره‌کنندگان,خدمه گروه آتش‌نشانی,افسران,کارکنان بیمارستان,False
364,گزارش‌های تلویزیونی حاکی از وجود دود سفید بر فراز کارخانه است. مقامات محلی به ساکنین همسایگی نیروگاه هشدار می‌دهند که در خانه بمانند،‌ تهویه هوا را خاموش کنند و آب شیر ننوشند. بر اساس آژانس هسته‌ای ژاپن، سزیم و ید رادیواکتیو در این نیروگاه یافت شده است. مقامات حدس می‌زنند این نشان دهنده آن است که مخازن سوخت اورانیم در این تاسیسات ممکن است خراب شده و در حال نشت کردن هستند.,با توجه به متن، کدام یک از موارد زیر احتمالاً منجر به شرایط خطرناک در داخل و اطراف کارخانه شده است؟,1,2,سوخت اورانیم,سزیم رادیواکتیو,گاز سفید,ید,False
371,یکی از شایع‌ترین مشکلات هنگام تبدیل کردن فیلم به قالب DVD بیرون زدن تصویر از کادر است. اکثر تلویزیون‌ها طوری ساخته شده‌است که مورد پسند مردم باشد. به آن دلیل، هر آنچه در تلویزیون مشاهده می‌کنید، کناره‌هایش از بالا، پایین و دو طرف برش خورده است. این برای اطمینان از آن ساخته شده تا تصویر به درستی در کل صفحه نمایش داده می‌شود. به آن overscan گفته می‌شود. متأسفانه وقتی یک DVD می‌سازید، کناره‌هایش نیز به احتمال زیاد از کادر خارج می‌شود و اگر زیرنویس این ویدئو به پایین تصویر خیلی نزدیک باشد، کامل نشان داده نمی‌شوند.,با توجه به متن، هنگام تبدیل فیلم به فرمت DVD ممکن است با کدام یک از مشکلات زیر مواجه شوید؟,2,4,تصویری که با کل صفحه تطابق ندارد,زیرنویس‌هایی که به طور نسبی برش خورده است,تصویری که کل صفحه را پر می‌کند,کناره‌های برش خورده,False
380,اروپا قاره‌ای نسبتاً کوچک است ولی در آن کشورهای مستقل زیادی وجود دارد. تحت شرایط عادی،‌ سفر کردن بین کشورهای متعدد مستلزم چندین بار طی کردن فرآیندهای درخواست ویزا و کنترل گذرنامه است. با این حال، منطقه شنگن از این لحاظ مثل یک کشور عمل می‌کند. تا زمانی که در این منطقه اقامت دارید، عموماً می‌توانید بدون گذشتن مجدد از محل بازرسی گذرنامه، از مرزها عبور کنید. به همین ترتیب، با داشتن ویزای شینگن، دیگر نیازی به درخواست ویزا برای هر یک از کشورهای عضو شینگن به طور جداگانه نیست، از این رو در وقت، پول و کاغذ بازی صرفه جویی می کنید.,کدام‌یک از موارد زیر یک مزیت سفر در منطقه شینگن است؟,3,1,اجتناب از درخواست‌های متعدد ویزا,صرفه‌جویی در پول,اجتناب از ایست‌های متعدد بازرسی کنترل گذرنامه,بدون الزام گذرنامه,False
392,سفر به Walt Disney World سیاحت بزرگی برای بسیاری از خانواده‌های آمریکایی محسوب می‌شود. بازدید «عادی» شامل پرواز به فرودگاه بین‌المللی اورلاندو، حرکت با اتوبوس به یک هتل دیزنی در آن محل، گذراندن حدود یک هفته بدون ترک کردن املاک دیزنی و بازگشت به خانه است. امکان تغییرات نامتناهی وجود دارد، اما این همان چیزی که بیشتر مردم وقتی صحبت از «رفتن به دنیای دیزنی» می کنند، را باقی می گذارد. بسیاری از بلیط‌هایی که آنلاین فروخته شده‌اند از طریق وب‌سایت‌های حراج از قبیل eBay یا Craigslist بوده که بلیط‌های استفاده شده چند روزه برای بازدید پارک‌های متعدد است. این کار بسیار مرسوم است، اما دیزنی آن را ممنوع می‌داند: بلیط‌ها قابل انتقال نیستند.,مطابق با متن، چه چیز ممکن است در مورد سفر معمول به Walt Disney World غیرمعمول تلقی شود؟,2,3,گذراندن یک هفته سیاحت در پارک‌ها,اقامت در یک هتل خارج از محل,گذراندن کل سفر در املاک دیزنی,از فرودگاه تا هتل سوار اتوبوس شدن,False
394,هر شخصی که قصد بازدید از کشوری را دارد که منطقه جنگی محسوب می‌شود باید تحت آموزش حرفه‌ای قرار گیرد. جستجو در اینترنت برای عبارت 'دوره محیطی متخاصم' احتمالاً آدرس یک شرکت محلی را نشان می دهد. یک دوره آموزشی معمولاً تمام مسائل مطروحه در اینجا را با جزئیات خیلی بیشتری تحت پوشش قرار می‌دهد و معمولاً‌ شامل تجربه عملی نیز می‌شود. یک دوره آموزشی معمولاً‌ 2 تا 5 روز طول می‌کشد و شامل نقش بازی کردن و حجم بالایی از آموزش کمک‌های اولیه و گاهی آموزش استفاده از سلاح می‌شود. کتاب‌ها و مجلاتی که به زنده ماندن در حیات وحش می‌پردازند خیلی زیاد است، ولی انتشاراتی که به مناطق جنگی بپردازند انگشت‌شمارند.,مطابق با متن، کدام‌یک از مشکلات زیر به احتمال زیاد در یک کلاس آموزش حرفه‌ای یا در انتشارات تحت پوشش نیست؟,3,1,زنده ماندن در حیات وحش ,آماده بودن برای انجام کمک‌های اولیه,آماده شدن برای مناطق جنگی,نقش بازی کردن,False
400,در شمال، این منطقه توسط ساحل صحرا و از جنوب و غرب توسط اقیانوس اطلس احاطه شده است. زنان: توصیه می شود که مسافران زن فارغ از وضعیت واقعی تاهل‌شان، بگویند که ازدواج کرده‌اند. به دست کردن یک حلقه نیز سودمند است (نه لزوماً حلقه‌ای که گران‌قیمت بنظر برسد. زن ها باید تشخیص دهند که تفاوت‌های فرهنگی ممکن است منجر به رخدادهایی شود که از نظر آنها آزار دهنده باشد و بعید نیست که کسی دنبال آنها بیافتد و دستشان را بگیرد و غیره. در مأیوس کردن مردها قاطع باشید و بدون ترس مقاومت کنید (چه تفاوت‌ها فرهنگی باشد یا خیر، وضعیت را بهتر نمی‌کند!),مطابق با متن، کدام‌یک از موارد زیر نکته خوبی برای زنانی که در این محل مسافرت می‌کنند نخواهد بود؟,1,2,خودداری از صحبت کردن درباره وضعیت تأهل,آگاه بودن از اینکه تفاوت‌های فرهنگی ممکن است رفتار خشن محلی‌ها را تحریک کند,اجتناب از پوشیدن جواهرات پر زرق و برق,جدی بودن برحسب لزوم,False
405,به‌طورکلی کار در خارج از کشور به این معنی است که باید مالیات بر درآمد خود را در کشوری که در آن حضور دارید بپردازید، مگر اینکه یک دیپلمات باشید. مالیات بر درآمد در کشورهای مختلف ساختار متفاوتی دارد و نرخ‌های مالیاتی و جدول مالیاتی از کشوری به کشور دیگر بسیار متغیر است. در برخی از کشورهای فدرال نظیر ایالات متحده و کانادا، مالیات بر درآمد در سطح فدرال و سطح منطقه‌ای اتخاذ می‌شود، از این رو نرخ‌ها و جداول مالیاتی می‌تواند در هر منطقه متفاوت باشد.,چه چیز احتمالاً درباره مالیات بر درآمد در کشورهای مختلف یکپارچه می‌ماند؟,3,4,نرخ‌ها,ساختار,محلی که ثبت می‌کنید,براکت‌های مالیاتی,False
406,به‌طورکلی کار در خارج از کشور به این معنی است که باید مالیات بر درآمد خود را در کشوری که در آن حضور دارید بپردازید، مگر اینکه یک دیپلمات باشید. مالیات بر درآمد در کشورهای مختلف ساختار متفاوتی دارد و نرخ‌های مالیاتی و جدول مالیاتی از کشوری به کشور دیگر بسیار متغیر است. در برخی از کشورهای فدرال نظیر ایالات متحده و کانادا، مالیات بر درآمد در سطح فدرال و سطح منطقه‌ای اتخاذ می‌شود، از این رو نرخ‌ها و جداول مالیاتی می‌تواند در هر منطقه متفاوت باشد.,مطابق با متن، اگر در خارج کار می‌کنید، اما درجای دیگر مستقر هستید، مالیات‌های بر درآمد خود را احتمالاً در کجا ثبت خواهید کرد؟,1,3,هرجایی که معمولاً مستقر هستید,در ایالات متحده,در کشوری که در حال حاضر در آن کار می‌کنید,هرجایی که هزینه‌ها کمترین است,False
425,لونو هنگام از کار افتادن، 120-160 متر مکعب سوخت داشت و باد و امواج مرتفع آن‌را به دورن موج‌شکن هل دادند. هلیکوپترها هر دوازده خدمه را نجات دادند و تنها جراحت شکستگی بینی یکی از آنها بود. کشتی 100 متری در مسیر بود تا طبق معمول بار کودش را بارگیری کند و مقامات رسمی در ابتدا می‌ترسیدند که بار از کشتی بیفتد.,با توجه به این متن، نگرانی اولیه مسئولان درباره لونو چه بود؟,3,2,کمبود بار کود,موج‌ها و بادهای شدید,نشت سوخت ,صدمه احتمالی به خدمه ,False
428,بیش از چهار میلیون نفر برای حضور در مراسم خاکسپاری به رم رفتند. تعداد افراد حاضر آنقدر زیاد بود که امکان دسترسی همه به مراسم خاکسپاری در میدان سنت پیتر ممکن نبود. چند نمایشگر تلویزیونی بزرگ در مکان‌های مختلف شهر رم نصب شدند تا مردم بتوانند مراسم را مشاهده کنند. در بسیاری از شهرهای ایتالیا و سایر نقاط جهان، به‌خصوص در لهستان، مجموعه‌های مشابهی ساخته شده که تعداد زیادی از مردم از آن بازدید کرده‌اند.,در کجا نمایشگر تلویزیونی برای مراسم خاکسپاری نصب نشده بود؟,4,3,سرتاسر رم,در شهرهای مختلف ایتالیا,در نقاط خاصی از لهستان,در میدان سنت پیتر,False
429,بیش از چهار میلیون نفر برای حضور در مراسم خاکسپاری به رم رفتند. تعداد افراد حاضر آنقدر زیاد بود که امکان دسترسی همه به مراسم خاکسپاری در میدان سنت پیتر ممکن نبود. چند نمایشگر تلویزیونی بزرگ در مکان‌های مختلف شهر رم نصب شدند تا مردم بتوانند مراسم را مشاهده کنند. در بسیاری از شهرهای ایتالیا و سایر نقاط جهان، به‌خصوص در لهستان، مجموعه‌های مشابهی ساخته شده که تعداد زیادی از مردم از آن بازدید کرده‌اند.,مراسم خاکسپاری کجا برگزار شد؟,3,1,در میدان‌های مختلفی در سرتاسر رم,در لهستان,در میدان سنت پیتر,ابتدا در رم، سپس در شهر دیگری در ایتالیا,False
